Date, Volume
2015-09-01, 183
2015-10-01, 183
2015-11-01, 196
2015-12-01, 209
2016-01-01, 235
2016-02-01, 248
2016-03-01, 235
2016-04-01, 209
2016-05-01, 196
2016-06-01, 196
2016-07-01, 248
2016-08-01, 235
2016-09-01, 287
2016-10-01, 261
2016-11-01, 300
2016-12-01, 287
2017-01-01, 261
2017-02-01, 222
2017-03-01, 235
2017-04-01, 248
2017-05-01, 261
2017-06-01, 209
2017-07-01, 235
2017-08-01, 235
2017-09-01, 235
2017-10-01, 248
2017-11-01, 235
2017-12-01, 248
2018-01-01, 196
2018-02-01, 209
2018-03-01, 196
2018-04-01, 274
2018-05-01, 287
2018-06-01, 287
2018-07-01, 209
2018-08-01, 196
2018-09-01, 209
2018-10-01, 222
2018-11-01, 222
2018-12-01, 248
2019-01-01, 248
2019-02-01, 235
2019-03-01, 261
2019-04-01, 248
2019-05-01, 261
2019-06-01, 209
2019-07-01, 222
2019-08-01, 274
2019-09-01, 261
2019-10-01, 317
2019-11-01, 230
2019-12-01, 269
2020-01-01, 198
2020-02-01, 207
2020-03-01, 212
2020-04-01, 302
2020-05-01, 246
2020-06-01, 253
2020-07-01, 251
2020-08-01, 251
2020-09-01, 383
2020-10-01, 347
2020-11-01, 483
2020-12-01, 583
2021-01-01, 596
2021-02-01, 352
2021-03-01, 374
2021-04-01, 321
2021-05-01, 320
2021-06-01, 312
2021-07-01, 263
2021-08-01, 268
2021-09-01, 295
2021-10-01, 303
2021-11-01, 349
2021-12-01, 276
2022-01-01, 280
2022-02-01, 237
2022-03-01, 194
2022-04-01, 238
2022-05-01, 238
2022-06-01, 188
2022-07-01, 233
2022-08-01, 228
2022-09-01, 235
2022-10-01, 245
2022-11-01, 209
2022-12-01, 245
2023-01-01, 295
2023-02-01, 242
2023-03-01, 232
2023-04-01, 273
2023-05-01, 219
2023-06-01, 220
2023-07-01, 263
2023-08-01, 266
2023-09-01, 268
2023-10-01, 252
2023-11-01, 315
2023-12-01, 303
2024-01-01, 243
2024-02-01, 245
2024-03-01, 220
2024-04-01, 234
2024-05-01, 284
2024-06-01, 381
2024-07-01, 470
2024-08-01, 332
2024-09-01, 372
2024-10-01, 331
2024-11-01, 349
2024-12-01, 478
2025-01-01, 288
2025-02-01, 286
2025-03-01, 291
2025-04-01, 249
2025-05-01, 250
2025-06-01, 236
2025-07-01, 359
2025-08-01, 474
2025-09-01, 457
2025-10-01, 289
2025-11-01, 255
2025-12-01, 242
2026-01-01, 259
2026-02-01, 216
2026-03-01, 212
2026-04-01, 223
2026-05-01, 217
2026-06-01, 212
2026-07-01, 227
2026-08-01, 214
2026-09-01, 238
2026-10-01, 231
2026-11-01, 247
2026-12-01, 273
2027-01-01, 235
2027-02-01, 191
