Date, Volume
2015-09-01, 477
2015-10-01, 510
2015-11-01, 510
2015-12-01, 549
2016-01-01, 510
2016-02-01, 523
2016-03-01, 562
2016-04-01, 587
2016-05-01, 652
2016-06-01, 665
2016-07-01, 704
2016-08-01, 626
2016-09-01, 536
2016-10-01, 523
2016-11-01, 549
2016-12-01, 562
2017-01-01, 562
2017-02-01, 600
2017-03-01, 639
2017-04-01, 600
2017-05-01, 523
2017-06-01, 484
2017-07-01, 497
2017-08-01, 523
2017-09-01, 587
2017-10-01, 639
2017-11-01, 665
2017-12-01, 613
2018-01-01, 549
2018-02-01, 523
2018-03-01, 549
2018-04-01, 562
2018-05-01, 562
2018-06-01, 510
2018-07-01, 587
2018-08-01, 562
2018-09-01, 600
2018-10-01, 536
2018-11-01, 549
2018-12-01, 588
2019-01-01, 549
2019-02-01, 549
2019-03-01, 471
2019-04-01, 484
2019-05-01, 536
2019-06-01, 536
2019-07-01, 536
2019-08-01, 471
2019-09-01, 497
2019-10-01, 577
2019-11-01, 712
2019-12-01, 854
2020-01-01, 688
2020-02-01, 651
2020-03-01, 521
2020-04-01, 545
2020-05-01, 575
2020-06-01, 564
2020-07-01, 571
2020-08-01, 553
2020-09-01, 477
2020-10-01, 724
2020-11-01, 668
2020-12-01, 1091
2021-01-01, 723
2021-02-01, 671
2021-03-01, 551
2021-04-01, 637
2021-05-01, 537
2021-06-01, 544
2021-07-01, 550
2021-08-01, 544
2021-09-01, 508
2021-10-01, 444
2021-11-01, 651
2021-12-01, 719
2022-01-01, 633
2022-02-01, 513
2022-03-01, 525
2022-04-01, 620
2022-05-01, 604
2022-06-01, 467
2022-07-01, 515
2022-08-01, 517
2022-09-01, 529
2022-10-01, 640
2022-11-01, 596
2022-12-01, 704
2023-01-01, 737
2023-02-01, 657
2023-03-01, 667
2023-04-01, 653
2023-05-01, 636
2023-06-01, 531
2023-07-01, 536
2023-08-01, 637
2023-09-01, 542
2023-10-01, 635
2023-11-01, 729
2023-12-01, 729
2024-01-01, 728
2024-02-01, 633
2024-03-01, 721
2024-04-01, 713
2024-05-01, 649
2024-06-01, 641
2024-07-01, 714
2024-08-01, 630
2024-09-01, 612
2024-10-01, 714
2024-11-01, 738
2024-12-01, 898
2025-01-01, 917
2025-02-01, 648
2025-03-01, 717
2025-04-01, 559
2025-05-01, 561
2025-06-01, 465
2025-07-01, 586
2025-08-01, 486
2025-09-01, 553
2025-10-01, 481
2025-11-01, 554
2025-12-01, 710
2026-01-01, 617
2026-02-01, 552
2026-03-01, 562
2026-04-01, 560
2026-05-01, 547
2026-06-01, 511
2026-07-01, 537
2026-08-01, 514
2026-09-01, 509
2026-10-01, 559
2026-11-01, 589
2026-12-01, 693
2027-01-01, 616
2027-02-01, 552
2027-03-01, 562
