#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (03-2024 - 02-2026),SV Forecasting trend (03-2026 - 03-2027)
1,all natural lotion,us,4,600,0.50,0.93,goat milk lotion,2026-03-02 00:41:07,"AI Overview,Thumbnail,Video preview,Sitelinks,Discussions,Shopping,People also ask",600,1700,1700,2015-09-30,"Informational,Commercial,Non-branded,Non-local",English,"721, 713, 649, 641, 714, 630, 612, 714, 738, 898, 917, 648, 717, 559, 561, 465, 586, 486, 553, 481, 554, 710, 617, 552","562, 560, 547, 511, 537, 514, 509, 559, 589, 693, 616, 552, 562"
2,all natural body lotion,us,3,450,0.35,1.21,natural lotion,2026-02-14 22:17:50,"AI Overview,Thumbnail,Sitelinks,People also ask,Shopping,Discussions,Video preview",700,1500,1500,2015-09-24,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"600, 488, 478, 442, 442, 468, 487, 494, 514, 637, 724, 637, 618, 472, 396, 306, 439, 380, 376, 369, 436, 455, 462, 416","392, 373, 360, 328, 366, 368, 336, 337, 413, 440, 447, 400, 377"
3,best all natural body lotion,us,0,150,0.40,1.23,non toxic body lotion,2025-12-14 11:21:44,"AI Overview,Thumbnail,Top ads,Paid sitelinks,Sitelinks,People also ask,Shopping,Video preview,Bottom ads",200,2400,2500,2015-09-09,"Informational,Commercial,Non-branded,Non-local",English,"204, 206, 161, 174, 178, 165, 166, 198, 211, 241, 307, 250, 198, 192, 164, 135, 157, 151, 125, 135, 151, 179, 187, 173","151, 155, 147, 148, 149, 144, 123, 135, 157, 173, 183, 169, 148"
4,all natural tanning lotion,us,5,150,1.00,,beauty by earth self tanner,2026-02-17 15:31:33,"Shopping,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",150,5500,5600,2015-10-13,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"169, 244, 249, 203, 129, 69, 42, 42, 56, 69, 92, 134, 214, 253, 254, 205, 113, 64, 59, 36, 45, 77, 99, 97","141, 173, 180, 150, 112, 84, 59, 54, 59, 66, 99, 97, 141"
5,best all natural lotion,us,4,150,0.40,1.13,non toxic body lotion,2025-11-20 07:06:27,"AI Overview,Thumbnail,People also ask,Sitelinks,Shopping,Video preview",150,1800,1800,2016-01-16,"Informational,Commercial,Non-branded,Non-local",English,"176, 170, 143, 151, 141, 141, 140, 178, 177, 210, 239, 199, 161, 156, 133, 115, 126, 133, 106, 109, 130, 156, 163, 147","134, 137, 129, 126, 122, 125, 122, 126, 142, 145, 158, 143, 129"
6,all natural baby lotion,us,3,100,,,organic baby lotion,2025-11-22 16:32:04,"Thumbnail,Sitelinks,Shopping,Video preview,Discussions,Top stories",150,350,400,2015-09-06,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"115, 108, 91, 70, 95, 97, 125, 116, 119, 114, 167, 123, 142, 130, 107, 92, 149, 127, 122, 126, 119, 124, 137, 67",0
7,all natural hand lotion,us,0,80,1.30,,best hand creams for dry skin,2026-03-06 13:59:04,"Thumbnail,People also ask,Shopping,Sitelinks,Top stories,Discussions",100,5500,6900,2015-09-27,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
8,all natural face lotion,us,3,70,2.00,,natural face moisturizer,2026-01-01 18:20:02,"AI Overview,Thumbnail,Shopping,People also ask,Sitelinks,Discussions",70,1700,1700,2015-09-09,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
9,all natural lotion for dry skin,us,0,60,0.60,,best natural body lotion,2025-12-23 23:18:10,"Shopping,Thumbnail,Sitelinks,People also ask,Discussions",60,500,500,2017-12-03,"Informational,Commercial,Non-branded,Non-local",English,,
10,all natural goat milk lotion,us,0,60,0.50,,goats milk lotion,2025-12-17 12:25:50,"Shopping,Thumbnail,Sitelinks",60,900,900,2017-10-17,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
11,all natural lotion no chemicals,us,2,50,1.60,,natural body lotion,2025-12-27 19:50:19,"Shopping,Thumbnail,AI Overview,People also ask,Sitelinks,Discussions,Video preview",50,1400,1500,2015-10-25,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
12,all natural lotion recipe,us,2,40,0.50,,homemade lotion recipe,2025-12-28 01:35:47,"AI Overview,Thumbnail,Top stories,Video preview,People also ask",40,400,450,2016-01-23,"Informational,Non-branded,Non-local",English,,
13,best all natural hand lotion,us,0,40,0.60,,best hand cream,2025-12-26 05:51:35,"Thumbnail,Shopping,Sitelinks,People also ask,Discussions",50,6400,8100,2017-11-22,"Informational,Commercial,Non-branded,Non-local",English,,
14,all natural skin lotion,us,3,30,2.50,,natural body lotion,2026-01-01 09:44:03,"Shopping,Thumbnail,People also ask,AI Overview,Sitelinks,Discussions,Top stories,Video preview",30,1500,1500,2015-10-20,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
15,all natural sunscreen lotion,us,,30,,,,,,30,,,2021-08-24,,,,
16,all natural shea butter lotion,us,0,30,1.90,,best shea butter lotion,2026-01-22 15:02:04,"Shopping,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",30,80,80,2015-09-26,"Informational,Commercial,Non-branded,Non-local",English,,
17,all natural tanning bed lotion,us,0,30,0.25,,tanning bed lotion,2026-02-18 21:54:30,"AI Overview,Thumbnail,Video preview,Sitelinks,People also ask,Shopping",30,300,300,2015-11-07,"Informational,Commercial,Non-branded,Non-local",English,,
18,best all natural baby lotion,us,3,30,,,organic baby lotion,2025-11-25 04:08:18,"Thumbnail,Sitelinks,AI Overview,People also ask,Discussions,Shopping,Top stories,Video preview",30,400,500,2015-09-15,"Informational,Commercial,Non-branded,Non-local",English,,
19,all natural body lotion no chemicals,us,,30,,,,,,40,,,2025-01-17,,,,
20,all natural self tanning lotion,us,1,30,1.40,,organic self tanner,2025-12-29 12:16:20,"Shopping,Thumbnail,People also ask,Sitelinks,Discussions,Top stories,Video preview",30,800,800,2016-07-25,"Informational,Commercial,Non-branded,Non-local",English,,
21,all natural cocoa butter lotion,us,1,30,0.30,,cocoa butter lotion,2025-12-26 07:15:01,"Shopping,Thumbnail,People also ask,Sitelinks,Discussions",30,150,150,2016-05-02,"Informational,Commercial,Non-branded,Non-local",English,,
22,body lotion all natural,us,,20,,,,,,20,,,2015-11-04,,,,
23,all natural after sun lotion,us,,20,,,,,,20,,,2020-05-02,"Informational,Commercial,Non-branded,Non-local",English,,
24,all natural suntan lotion,us,,20,0.80,,,,,30,,,2018-05-29,"Informational,Commercial,Non-branded,Non-local",English,,
25,all natural organic lotion,us,1,20,0.70,,non toxic body lotion,2026-03-07 11:29:17,"AI Overview,Thumbnail,Shopping,People also ask,Sitelinks",20,500,500,2015-10-20,"Informational,Commercial,Non-branded,Non-local",English,,
26,face lotion all natural,us,,20,,,,,,20,,,2019-03-11,,,,
27,all-natural lotion stick morris county nj,us,,20,,,,,,20,,,2025-06-10,,,,
28,best all natural body lotion for dry skin,us,,20,,,,,,20,,,2018-01-31,,,,
29,all natural moisturizing lotion,us,,20,,,,,,30,,,2016-10-27,,,,
30,all natural lotion brands,us,,20,,,,,,20,,,2016-01-10,"Informational,Commercial,Non-branded,Non-local",English,,
31,all-natural lotion,us,,20,,,,,,20,,,2021-01-05,,,,
32,best all natural lotion for men,us,,20,,,,,,20,,,2024-11-29,,,,
33,all natural organic body lotion,us,2,20,1.50,,organic body lotion,2025-12-26 00:11:43,"Shopping,Thumbnail,Sitelinks,People also ask,Discussions",30,300,300,2015-10-07,"Informational,Commercial,Non-branded,Non-local",English,,
34,best all natural lotion for dry skin,us,,20,0.30,,,,,20,,,2017-09-20,"Informational,Commercial,Non-branded,Non-local",English,,
35,all natural lotion for men,us,,20,,,,,,20,,,2018-04-03,,,,
36,all-natural lotion candles morris county nj,us,,10,,,,,,10,,,2025-06-24,,,,
37,all natural body lotion for dry skin,us,,10,,,,,,10,,,2019-11-12,,,,
38,best all natural organic body lotion,us,,10,,,,,,10,,,2016-11-27,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
39,all natural lotion for eczema,us,,10,,,,,,10,,,2020-01-23,"Informational,Commercial,Non-branded,Non-local",English,,
40,organic all natural body lotion,us,,10,,,,,,10,,,2016-07-19,,,,
41,all natural indoor tanning lotion,us,,10,,,,,,10,,,2015-12-01,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
42,best all natural body lotion for sensitive skin,us,,10,,,,,,10,,,2016-05-05,"Informational,Commercial,Non-branded,Non-local",English,,
43,all natural sun tan lotion,us,,10,,,,,,20,,,2018-02-16,,,,
44,best all natural body lotion for men,us,,10,,,,,,10,,,2025-02-25,,,,
45,all natural lotion bars for sale,us,,10,,,,,,10,,,2026-01-21,,,,
46,best all natural face lotion,us,0,10,1.90,,natural moisturizer,2025-12-27 05:25:09,"Thumbnail,Sitelinks,AI Overview,Shopping,People also ask,Discussions,Top stories,Bottom ads,Paid sitelinks",10,5500,8200,2015-10-25,"Informational,Commercial,Non-branded,Non-local",English,,
47,how to make all natural lotion,us,2,10,,,homemade lotion recipe,2025-12-01 09:18:40,"Featured snippet,People also ask,Video preview,Sitelinks,Discussions",10,500,600,2015-09-07,"Informational,Non-branded,Non-local",English,,
