Date, Volume
2015-09-01, 1674
2015-10-01, 1415
2015-11-01, 1394
2015-12-01, 1609
2016-01-01, 1670
2016-02-01, 1680
2016-03-01, 1614
2016-04-01, 1997
2016-05-01, 1206
2016-06-01, 1718
2016-07-01, 1917
2016-08-01, 1604
2016-09-01, 1897
2016-10-01, 1849
2016-11-01, 1425
2016-12-01, 1476
2017-01-01, 2206
2017-02-01, 1956
2017-03-01, 2128
2017-04-01, 2146
2017-05-01, 2353
2017-06-01, 2682
2017-07-01, 2345
2017-08-01, 1857
2017-09-01, 2380
2017-10-01, 2497
2017-11-01, 1571
2017-12-01, 2099
2018-01-01, 2168
2018-02-01, 2319
2018-03-01, 2303
2018-04-01, 3386
2018-05-01, 2367
2018-06-01, 2212
2018-07-01, 2868
2018-08-01, 2746
2018-09-01, 1778
2018-10-01, 2383
2018-11-01, 1839
2018-12-01, 2452
2019-01-01, 3051
2019-02-01, 2955
2019-03-01, 3063
2019-04-01, 3362
2019-05-01, 3112
2019-06-01, 3914
2019-07-01, 3972
2019-08-01, 4843
2019-09-01, 4423
2019-10-01, 3825
2019-11-01, 3098
2019-12-01, 3182
2020-01-01, 4043
2020-02-01, 3957
2020-03-01, 2645
2020-04-01, 2979
2020-05-01, 3154
2020-06-01, 3834
2020-07-01, 3815
2020-08-01, 3606
2020-09-01, 3432
2020-10-01, 3374
2020-11-01, 3692
2020-12-01, 2975
2021-01-01, 4405
2021-02-01, 4186
2021-03-01, 5288
2021-04-01, 4946
2021-05-01, 4666
2021-06-01, 4290
2021-07-01, 4878
2021-08-01, 5196
2021-09-01, 3642
2021-10-01, 4288
2021-11-01, 2891
2021-12-01, 3551
2022-01-01, 4391
2022-02-01, 4776
2022-03-01, 5517
2022-04-01, 5194
2022-05-01, 4780
2022-06-01, 5794
2022-07-01, 5654
2022-08-01, 5672
2022-09-01, 4849
2022-10-01, 4101
2022-11-01, 4087
2022-12-01, 4081
2023-01-01, 6596
2023-02-01, 6053
2023-03-01, 5995
2023-04-01, 6932
2023-05-01, 7066
2023-06-01, 7635
2023-07-01, 8027
2023-08-01, 7106
2023-09-01, 6832
2023-10-01, 5875
2023-11-01, 5273
2023-12-01, 6079
2024-01-01, 6381
2024-02-01, 5968
2024-03-01, 7114
2024-04-01, 6443
2024-05-01, 7715
2024-06-01, 6443
2024-07-01, 7726
2024-08-01, 7587
2024-09-01, 6620
2024-10-01, 6204
2024-11-01, 5919
2024-12-01, 6164
2025-01-01, 6965
2025-02-01, 6858
2025-03-01, 6962
2025-04-01, 7074
2025-05-01, 6839
2025-06-01, 7094
2025-07-01, 7323
2025-08-01, 7185
2025-09-01, 6677
2025-10-01, 6465
2025-11-01, 5989
2025-12-01, 6229
2026-01-01, 7026
2026-02-01, 6915
2026-03-01, 7015
2026-04-01, 7123
2026-05-01, 6885
2026-06-01, 7137
2026-07-01, 7363
2026-08-01, 7222
2026-09-01, 6712
2026-10-01, 6497
2026-11-01, 6019
2026-12-01, 6257
2027-01-01, 7052
2027-02-01, 6939
