Date, Volume
2015-09-01, 313
2015-10-01, 311
2015-11-01, 293
2015-12-01, 308
2016-01-01, 2220
2016-02-01, 326
2016-03-01, 319
2016-04-01, 350
2016-05-01, 363
2016-06-01, 1923
2016-07-01, 360
2016-08-01, 1820
2016-09-01, 350
2016-10-01, 337
2016-11-01, 324
2016-12-01, 321
2017-01-01, 1958
2017-02-01, 347
2017-03-01, 363
2017-04-01, 389
2017-05-01, 2050
2017-06-01, 373
2017-07-01, 1973
2017-08-01, 2049
2017-09-01, 313
2017-10-01, 324
2017-11-01, 311
2017-12-01, 337
2018-01-01, 1560
2018-02-01, 1749
2018-03-01, 355
2018-04-01, 2649
2018-05-01, 365
2018-06-01, 2483
2018-07-01, 360
2018-08-01, 334
2018-09-01, 1754
2018-10-01, 1896
2018-11-01, 2788
2018-12-01, 1917
2019-01-01, 2786
2019-02-01, 2183
2019-03-01, 2583
2019-04-01, 2707
2019-05-01, 2229
2019-06-01, 2043
2019-07-01, 3468
2019-08-01, 1923
2019-09-01, 2671
2019-10-01, 2369
2019-11-01, 3243
2019-12-01, 2234
2020-01-01, 1953
2020-02-01, 2462
2020-03-01, 1613
2020-04-01, 1579
2020-05-01, 2386
2020-06-01, 2646
2020-07-01, 2559
2020-08-01, 2346
2020-09-01, 2031
2020-10-01, 1909
2020-11-01, 2476
2020-12-01, 2319
2021-01-01, 2636
2021-02-01, 2355
2021-03-01, 2938
2021-04-01, 2728
2021-05-01, 3645
2021-06-01, 3192
2021-07-01, 3276
2021-08-01, 3480
2021-09-01, 1845
2021-10-01, 2743
2021-11-01, 314
2021-12-01, 2006
2022-01-01, 2817
2022-02-01, 2045
2022-03-01, 2657
2022-04-01, 2371
2022-05-01, 2970
2022-06-01, 2439
2022-07-01, 3051
2022-08-01, 1790
2022-09-01, 2649
2022-10-01, 2580
2022-11-01, 368
2022-12-01, 2043
2023-01-01, 2538
2023-02-01, 2932
2023-03-01, 3317
2023-04-01, 2956
2023-05-01, 2985
2023-06-01, 4542
2023-07-01, 3693
2023-08-01, 3861
2023-09-01, 2822
2023-10-01, 2978
2023-11-01, 2492
2023-12-01, 2562
2024-01-01, 2850
2024-02-01, 2601
2024-03-01, 448
2024-04-01, 2552
2024-05-01, 2669
2024-06-01, 2996
2024-07-01, 2878
2024-08-01, 2732
2024-09-01, 2330
2024-10-01, 2389
2024-11-01, 2045
2024-12-01, 2217
2025-01-01, 2945
2025-02-01, 2578
2025-03-01, 2443
2025-04-01, 2687
2025-05-01, 2834
2025-06-01, 3156
2025-07-01, 3040
2025-08-01, 2895
2025-09-01, 2493
2025-10-01, 2554
2025-11-01, 2210
2025-12-01, 2383
2026-01-01, 3112
2026-02-01, 2745
2026-03-01, 2612
2026-04-01, 2857
2026-05-01, 3004
2026-06-01, 3327
2026-07-01, 3212
2026-08-01, 3068
2026-09-01, 2667
2026-10-01, 2728
2026-11-01, 2386
2026-12-01, 2559
2027-01-01, 3289
2027-02-01, 2924
