Date, Difficulty
2021-05-19, 30
2021-06-15, 30
2021-07-11, 32
2021-08-06, 36
2021-09-01, 30
2021-10-23, 26
2021-11-07, 25
2021-12-01, 27
2022-01-07, 32
2022-02-02, 32
2022-03-04, 33
2022-04-03, 34
2022-05-05, 38
2022-06-05, 36
2022-07-01, 33
2022-08-04, 32
2022-09-02, 32
2022-10-01, 28
2022-11-01, 28
2022-12-08, 39
2023-01-05, 38
2023-02-02, 37
2023-03-03, 34
2023-04-22, 34
2023-05-18, 24
2023-06-26, 26
2023-07-21, 24
2023-08-17, 22
2023-09-11, 14
2023-10-08, 18
2023-11-18, 10
2023-12-12, 9
2024-01-07, 10
2024-02-02, 3
2024-03-06, 14
2024-04-17, 2
2024-05-07, 2
2024-06-19, 1
2024-07-09, 1
2024-08-24, 2
2024-09-13, 5
2024-10-03, 3
2024-11-01, 3
2024-12-12, 1
2025-01-01, 1
2025-02-16, 4
2025-03-09, 3
2025-04-04, 3
2025-05-05, 7
2025-06-02, 6
2025-07-12, 8
2025-08-15, 12
2025-09-07, 7
2025-10-05, 5
2025-11-23, 5
2025-12-29, 4
2026-02-14, 4
