Date, Volume
2015-09-01, 349
2015-10-01, 351
2015-11-01, 351
2015-12-01, 396
2016-01-01, 398
2016-02-01, 401
2016-03-01, 354
2016-04-01, 370
2016-05-01, 372
2016-06-01, 375
2016-07-01, 354
2016-08-01, 349
2016-09-01, 1690
2016-10-01, 364
2016-11-01, 396
2016-12-01, 396
2017-01-01, 1732
2017-02-01, 388
2017-03-01, 401
2017-04-01, 2074
2017-05-01, 2724
2017-06-01, 3513
2017-07-01, 1981
2017-08-01, 2003
2017-09-01, 1963
2017-10-01, 2389
2017-11-01, 1934
2017-12-01, 393
2018-01-01, 2347
2018-02-01, 2645
2018-03-01, 1747
2018-04-01, 2150
2018-05-01, 3245
2018-06-01, 3505
2018-07-01, 4170
2018-08-01, 3088
2018-09-01, 2182
2018-10-01, 1657
2018-11-01, 1963
2018-12-01, 2438
2019-01-01, 2150
2019-02-01, 388
2019-03-01, 1993
2019-04-01, 2179
2019-05-01, 3322
2019-06-01, 2984
2019-07-01, 3368
2019-08-01, 2840
2019-09-01, 2628
2019-10-01, 3121
2019-11-01, 2397
2019-12-01, 1416
2020-01-01, 2729
2020-02-01, 1899
2020-03-01, 2235
2020-04-01, 2487
2020-05-01, 2953
2020-06-01, 4065
2020-07-01, 2917
2020-08-01, 4141
2020-09-01, 3037
2020-10-01, 3078
2020-11-01, 2618
2020-12-01, 1607
2021-01-01, 2865
2021-02-01, 2712
2021-03-01, 3202
2021-04-01, 2864
2021-05-01, 2904
2021-06-01, 3413
2021-07-01, 2363
2021-08-01, 3029
2021-09-01, 1928
2021-10-01, 1861
2021-11-01, 369
2021-12-01, 2313
2022-01-01, 1883
2022-02-01, 2902
2022-03-01, 2408
2022-04-01, 3608
2022-05-01, 3831
2022-06-01, 3346
2022-07-01, 3096
2022-08-01, 3175
2022-09-01, 2304
2022-10-01, 3034
2022-11-01, 1793
2022-12-01, 2831
2023-01-01, 3094
2023-02-01, 3105
2023-03-01, 3430
2023-04-01, 2225
2023-05-01, 2832
2023-06-01, 2663
2023-07-01, 3551
2023-08-01, 3691
2023-09-01, 2345
2023-10-01, 2301
2023-11-01, 3429
2023-12-01, 2702
2024-01-01, 2293
2024-02-01, 2524
2024-03-01, 2229
2024-04-01, 2939
2024-05-01, 3387
2024-06-01, 3571
2024-07-01, 3304
2024-08-01, 3361
2024-09-01, 2828
2024-10-01, 2780
2024-11-01, 2382
2024-12-01, 2298
2025-01-01, 2926
2025-02-01, 2486
2025-03-01, 2603
2025-04-01, 2958
2025-05-01, 3405
2025-06-01, 3588
2025-07-01, 3320
2025-08-01, 3377
2025-09-01, 2843
2025-10-01, 2795
2025-11-01, 2396
2025-12-01, 2311
2026-01-01, 2938
2026-02-01, 2499
2026-03-01, 2615
2026-04-01, 2969
2026-05-01, 3416
2026-06-01, 3598
2026-07-01, 3330
2026-08-01, 3387
2026-09-01, 2852
2026-10-01, 2804
2026-11-01, 2405
2026-12-01, 2319
2027-01-01, 2946
2027-02-01, 2506
