Date, Difficulty
2021-05-14, 36
2021-06-12, 31
2021-07-08, 32
2021-08-02, 36
2021-09-26, 39
2021-10-21, 42
2021-11-24, 37
2021-12-26, 37
2022-01-28, 39
2022-02-05, 39
2023-06-21, 31
2023-07-17, 34
2023-08-13, 34
2023-09-07, 28
2023-10-04, 30
2023-11-13, 22
2023-12-10, 22
2024-01-05, 12
2024-03-03, 4
2024-04-03, 8
2024-05-23, 3
2024-06-13, 4
2024-07-03, 4
2024-08-23, 7
2024-09-19, 8
2024-10-20, 7
2024-11-13, 5
2024-12-03, 4
2025-01-13, 3
2025-02-07, 9
2025-03-25, 15
2025-04-15, 12
2025-05-17, 8
2025-07-07, 9
2025-08-06, 5
2025-09-21, 15
2025-10-15, 15
2025-11-08, 6
2026-01-03, 2
