Date, Volume
2015-09-01, 1278
2015-10-01, 220
2015-11-01, 772
2015-12-01, 902
2016-01-01, 1392
2016-02-01, 1039
2016-03-01, 729
2016-04-01, 818
2016-05-01, 1057
2016-06-01, 925
2016-07-01, 1046
2016-08-01, 970
2016-09-01, 808
2016-10-01, 998
2016-11-01, 739
2016-12-01, 869
2017-01-01, 1008
2017-02-01, 983
2017-03-01, 1034
2017-04-01, 1176
2017-05-01, 1181
2017-06-01, 1042
2017-07-01, 1227
2017-08-01, 1425
2017-09-01, 1216
2017-10-01, 1305
2017-11-01, 1610
2017-12-01, 1230
2018-01-01, 1428
2018-02-01, 1578
2018-03-01, 1136
2018-04-01, 1039
2018-05-01, 1138
2018-06-01, 1090
2018-07-01, 996
2018-08-01, 1185
2018-09-01, 880
2018-10-01, 1105
2018-11-01, 957
2018-12-01, 993
2019-01-01, 1319
2019-02-01, 1317
2019-03-01, 1377
2019-04-01, 1227
2019-05-01, 1245
2019-06-01, 953
2019-07-01, 917
2019-08-01, 1278
2019-09-01, 1164
2019-10-01, 1276
2019-11-01, 1174
2019-12-01, 1119
2020-01-01, 1218
2020-02-01, 863
2020-03-01, 978
2020-04-01, 1180
2020-05-01, 1549
2020-06-01, 1053
2020-07-01, 986
2020-08-01, 1215
2020-09-01, 1058
2020-10-01, 852
2020-11-01, 900
2020-12-01, 1132
2021-01-01, 1300
2021-02-01, 1340
2021-03-01, 1293
2021-04-01, 1437
2021-05-01, 1710
2021-06-01, 1560
2021-07-01, 1308
2021-08-01, 1453
2021-09-01, 1471
2021-10-01, 1438
2021-11-01, 1347
2021-12-01, 1354
2022-01-01, 1909
2022-02-01, 1793
2022-03-01, 1681
2022-04-01, 1656
2022-05-01, 1603
2022-06-01, 1653
2022-07-01, 1950
2022-08-01, 1586
2022-09-01, 1536
2022-10-01, 1885
2022-11-01, 1954
2022-12-01, 1896
2023-01-01, 2113
2023-02-01, 2723
2023-03-01, 2059
2023-04-01, 1861
2023-05-01, 1794
2023-06-01, 1782
2023-07-01, 1847
2023-08-01, 1625
2023-09-01, 1840
2023-10-01, 1696
2023-11-01, 1994
2023-12-01, 2076
2024-01-01, 2168
2024-02-01, 1838
2024-03-01, 1843
2024-04-01, 1897
2024-05-01, 2005
2024-06-01, 1851
2024-07-01, 1878
2024-08-01, 1936
2024-09-01, 1863
2024-10-01, 1891
2024-11-01, 1910
2024-12-01, 1907
2025-01-01, 2153
2025-02-01, 2161
2025-03-01, 2000
2025-04-01, 2016
2025-05-01, 2124
2025-06-01, 1971
2025-07-01, 1998
2025-08-01, 2057
2025-09-01, 1985
2025-10-01, 2013
2025-11-01, 2033
2025-12-01, 2031
2026-01-01, 2278
2026-02-01, 2286
2026-03-01, 2126
2026-04-01, 2142
2026-05-01, 2251
2026-06-01, 2099
2026-07-01, 2127
2026-08-01, 2186
2026-09-01, 2114
2026-10-01, 2144
2026-11-01, 2164
2026-12-01, 2163
2027-01-01, 2410
2027-02-01, 2419
