Date, Volume
2015-09-01, 287
2015-10-01, 287
2015-11-01, 287
2015-12-01, 287
2016-01-01, 287
2016-02-01, 287
2016-03-01, 287
2016-04-01, 287
2016-05-01, 287
2016-06-01, 287
2016-07-01, 327
2016-08-01, 327
2016-09-01, 327
2016-10-01, 287
2016-11-01, 287
2016-12-01, 287
2017-01-01, 287
2017-02-01, 287
2017-03-01, 287
2017-04-01, 287
2017-05-01, 287
2017-06-01, 287
2017-07-01, 287
2017-08-01, 287
2017-09-01, 287
2017-10-01, 287
2017-11-01, 287
2017-12-01, 287
2018-01-01, 287
2018-02-01, 287
2018-03-01, 297
2018-04-01, 297
2018-05-01, 297
2018-06-01, 287
2018-07-01, 287
2018-08-01, 287
2018-09-01, 287
2018-10-01, 287
2018-11-01, 287
2018-12-01, 287
2019-01-01, 287
2019-02-01, 287
2019-03-01, 317
2019-04-01, 317
2019-05-01, 317
2019-06-01, 287
2019-07-01, 297
2019-08-01, 297
2019-09-01, 152
2019-10-01, 181
2019-11-01, 181
2019-12-01, 176
2020-01-01, 312
2020-02-01, 333
2020-03-01, 263
2020-04-01, 521
2020-05-01, 523
2020-06-01, 502
2020-07-01, 640
2020-08-01, 465
2020-09-01, 382
2020-10-01, 376
2020-11-01, 490
2020-12-01, 487
2021-01-01, 585
2021-02-01, 444
2021-03-01, 460
2021-04-01, 396
2021-05-01, 325
2021-06-01, 314
2021-07-01, 386
2021-08-01, 414
2021-09-01, 312
2021-10-01, 372
2021-11-01, 379
2021-12-01, 322
2022-01-01, 408
2022-02-01, 427
2022-03-01, 437
2022-04-01, 523
2022-05-01, 464
2022-06-01, 459
2022-07-01, 455
2022-08-01, 471
2022-09-01, 422
2022-10-01, 524
2022-11-01, 495
2022-12-01, 664
2023-01-01, 862
2023-02-01, 734
2023-03-01, 723
2023-04-01, 690
2023-05-01, 575
2023-06-01, 704
2023-07-01, 557
2023-08-01, 555
2023-09-01, 560
2023-10-01, 567
2023-11-01, 842
2023-12-01, 692
2024-01-01, 857
2024-02-01, 704
2024-03-01, 841
2024-04-01, 838
2024-05-01, 822
2024-06-01, 847
2024-07-01, 843
2024-08-01, 711
2024-09-01, 854
2024-10-01, 879
2024-11-01, 1228
2024-12-01, 1002
2025-01-01, 1293
2025-02-01, 1020
2025-03-01, 859
2025-04-01, 824
2025-05-01, 692
2025-06-01, 672
2025-07-01, 720
2025-08-01, 718
2025-09-01, 721
2025-10-01, 658
2025-11-01, 612
2025-12-01, 720
2026-01-01, 716
2026-02-01, 608
2026-03-01, 585
2026-04-01, 618
2026-05-01, 594
2026-06-01, 612
2026-07-01, 599
2026-08-01, 599
2026-09-01, 590
2026-10-01, 599
2026-11-01, 652
2026-12-01, 626
2027-01-01, 715
2027-02-01, 607
