#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (03-2024 - 02-2026),SV Forecasting trend (03-2026 - 03-2027)
1,clean body lotion,us,2,700,0.35,,attitude lotion,2026-03-06 19:37:51,"AI Overview,Thumbnail,Video preview,Sitelinks,Shopping,People also ask,Top stories",1100,800,800,2016-08-17,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"841, 838, 822, 847, 843, 711, 854, 879, 1228, 1002, 1293, 1020, 859, 824, 692, 672, 720, 718, 721, 658, 612, 720, 716, 608","585, 618, 594, 612, 599, 599, 590, 599, 652, 626, 715, 607"
2,best clean body lotion,us,0,300,0.40,,body moisturizer,2026-02-27 07:30:20,"AI Overview,Thumbnail,Sitelinks,People also ask,Video preview,Top stories,Shopping",400,600,600,2015-10-20,"Informational,Commercial,Non-branded,Non-local",English,"385, 377, 312, 322, 325, 319, 317, 379, 395, 391, 467, 333, 401, 324, 330, 322, 347, 299, 287, 232, 326, 276, 346, 318","310, 320, 319, 295, 307, 306, 290, 290, 330, 305, 360, 331"
3,clean ingredient body lotion,us,0,200,0.60,,clean body lotion,2026-01-14 20:16:24,"AI Overview,Thumbnail,Sitelinks,People also ask,Top stories,Shopping,Video preview",200,500,500,2020-01-15,"Informational,Commercial,Non-branded,Non-local",English,"152, 144, 144, 124, 145, 150, 148, 186, 230, 218, 331, 199, 236, 192, 194, 161, 169, 161, 136, 126, 181, 149, 235, 127","159, 124, 133, 115, 137, 138, 131, 143, 191, 158, 243, 135"
4,clean body lotion brands,us,0,150,0.45,,clean body lotion,2025-12-22 06:29:22,"Thumbnail,Sitelinks,People also ask,Shopping,Top stories",150,500,500,2020-01-10,"Informational,Commercial,Non-branded,Non-local",English,,
5,what’s the best clean beauty vegan body lotion?,us,,60,,,,,,60,,,2025-07-16,,,,
6,clean non toxic body lotion,us,0,50,1.10,,non toxic body lotion,2026-01-06 23:28:41,"AI Overview,Thumbnail,Sitelinks,Shopping,Discussions",60,2500,2600,2020-12-23,"Informational,Commercial,Non-branded,Non-local",English,,
7,best clean ingredient body lotion,us,0,50,0.60,,non toxic body lotion,2025-11-29 03:55:20,"AI Overview,Thumbnail,Sitelinks,Discussions,People also ask,Top stories",50,2200,2300,2020-06-02,"Informational,Commercial,Non-branded,Non-local",English,,
8,best clean body lotion for aging skin,us,,50,,,,,,50,,,2022-07-17,,,,
9,body lotion clean ingredients,us,0,40,0.40,,body lotion,2025-12-20 02:21:06,"Sitelinks,Thumbnail,Discussions",50,350,350,2022-06-03,"Informational,Commercial,Non-branded,Non-local",English,,
10,clean ingredients body lotion,us,0,40,1.50,,clean body lotion,2025-11-28 22:15:03,"AI Overview,Thumbnail,Sitelinks,People also ask,Discussions,Top stories",50,350,350,2020-05-07,"Informational,Commercial,Non-branded,Non-local",English,,
11,best clean beauty vegan body lotion 2025,us,,40,,,,,,40,,,2025-08-11,,,,
12,body lotion with clean ingredients,us,0,40,0.50,,clean lotion brands,2025-12-30 04:21:03,"AI Overview,Thumbnail,Sitelinks,Discussions",40,200,200,2022-05-01,"Informational,Commercial,Non-branded,Non-local",English,,
13,best clean body lotion for dry skin,us,0,30,0.70,,non toxic body lotion,2025-12-14 19:05:53,"Thumbnail,Sitelinks,People also ask,Discussions,Shopping",40,2400,2500,2020-01-10,"Informational,Commercial,Non-branded,Non-local",English,,
14,clean beauty body lotion,us,1,30,0.40,,body lotion,2025-12-21 04:17:17,"Sitelinks,Thumbnail,People also ask,Shopping",50,300,300,2020-01-10,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
15,clean body lotion for dry skin,us,0,30,,,clean body lotion,2025-12-31 03:15:19,"Thumbnail,Sitelinks,Shopping,People also ask,Discussions,Top stories",40,500,500,2021-04-21,"Informational,Commercial,Non-branded,Non-local",English,,
16,best clean beauty vegan body lotion,us,,20,,,,,,30,,,2025-07-26,,,,
17,body lotion clean,us,,20,1.60,,,,,30,,,2020-01-10,,,,
18,clean body lotion that smells good,us,,20,,,,,,20,,,2023-01-04,,,,
19,best body lotion clean ingredients,us,0,20,0.50,,non toxic body lotion,2025-12-21 22:45:35,"Thumbnail,AI Overview,Sitelinks,People also ask,Top stories",30,2700,2800,2021-02-06,"Informational,Commercial,Non-branded,Non-local",English,,
20,clean scented body lotion,us,,20,,,,,,20,,,2021-08-11,,,,
21,clean body lotion non toxic,us,,20,,,,,,20,,,2025-01-23,,,,
22,what is the best clean body lotion,us,0,20,0.40,,non toxic body lotion,2026-01-04 19:46:38,"Thumbnail,People also ask,Sitelinks,Discussions,Top stories",20,2600,2700,2022-08-26,"Informational,Commercial,Non-branded,Non-local",English,,
23,clean smelling body lotion,us,1,20,0.15,,clean smelling lotion,2025-12-24 13:18:20,"Sitelinks,AI Overview,Thumbnail,Discussions,People also ask,Shopping",30,20,20,2020-02-25,"Informational,Commercial,Non-branded,Non-local",English,,
24,clean vanilla body lotion,us,,10,,,,,,10,,,2024-09-03,,,,
25,clean unscented body lotion,us,,10,,,,,,10,,,2022-12-12,,,,
26,best clean smelling body lotion,us,,10,,,,,,10,,,2021-02-07,,,,
27,clean body lotion with spf,us,,10,,,,,,10,,,2023-05-31,,,,
28,pink fresh and clean body lotion,us,,10,0.00,,,,,10,,,2019-02-20,"Informational,Commercial,Transactional,Branded,Non-local",English,,
29,clean firming body lotion,us,,10,,,,,,10,,,2023-06-02,,,,
30,clean drugstore body lotion,us,,10,0.08,,,,,10,,,2020-02-17,,,,
31,where to buy clean body lotion,us,,10,,,,,,10,,,2025-08-22,,,,
32,clean body lotion for kids,us,,10,,,,,,10,,,2025-01-06,,,,
33,clean hydrating body lotion,us,,10,,,,,,10,,,2025-01-02,,,,
34,clean organic body lotion,us,,10,0.60,,,,,20,,,2020-09-24,,,,
35,clean body lotion target,us,,10,0.50,,,,,10,,,2020-04-25,"Informational,Navigational,Commercial,Transactional,Branded,Non-local",English,,
36,non toxic clean body lotion,us,,10,,,,,,20,,,2024-11-30,,,,
37,clean body lotion ingredients,us,,10,,,,,,10,,,2025-10-05,,,,
38,clean scent body lotion,us,,10,,,,,,10,,,2023-08-12,,,,
39,clean botanica body lotion,us,,10,0.60,,,,,20,,,2021-11-27,,,,
40,organic clean body lotion,us,,10,,,,,,20,,,2021-12-14,,,,
