Date, Volume
2015-09-01, 3289
2015-10-01, 3699
2015-11-01, 3758
2015-12-01, 3745
2016-01-01, 4021
2016-02-01, 4679
2016-03-01, 4141
2016-04-01, 5082
2016-05-01, 3875
2016-06-01, 4302
2016-07-01, 4432
2016-08-01, 4029
2016-09-01, 4692
2016-10-01, 4583
2016-11-01, 4445
2016-12-01, 4151
2017-01-01, 4328
2017-02-01, 4515
2017-03-01, 5237
2017-04-01, 5739
2017-05-01, 5698
2017-06-01, 5266
2017-07-01, 6200
2017-08-01, 4991
2017-09-01, 5253
2017-10-01, 5679
2017-11-01, 5625
2017-12-01, 5505
2018-01-01, 6137
2018-02-01, 5633
2018-03-01, 5248
2018-04-01, 6340
2018-05-01, 5116
2018-06-01, 5485
2018-07-01, 5641
2018-08-01, 7003
2018-09-01, 6077
2018-10-01, 5518
2018-11-01, 5222
2018-12-01, 6044
2019-01-01, 6641
2019-02-01, 6826
2019-03-01, 6119
2019-04-01, 6480
2019-05-01, 5508
2019-06-01, 4840
2019-07-01, 5628
2019-08-01, 5882
2019-09-01, 4921
2019-10-01, 4369
2019-11-01, 4882
2019-12-01, 5010
2020-01-01, 5811
2020-02-01, 5892
2020-03-01, 4377
2020-04-01, 5213
2020-05-01, 5812
2020-06-01, 5952
2020-07-01, 6938
2020-08-01, 6817
2020-09-01, 6829
2020-10-01, 7445
2020-11-01, 6864
2020-12-01, 6775
2021-01-01, 7390
2021-02-01, 6351
2021-03-01, 7883
2021-04-01, 6246
2021-05-01, 6916
2021-06-01, 7575
2021-07-01, 6569
2021-08-01, 6899
2021-09-01, 6307
2021-10-01, 5621
2021-11-01, 6233
2021-12-01, 6136
2022-01-01, 7419
2022-02-01, 6950
2022-03-01, 7595
2022-04-01, 6912
2022-05-01, 6563
2022-06-01, 6603
2022-07-01, 7733
2022-08-01, 7617
2022-09-01, 6605
2022-10-01, 7448
2022-11-01, 7437
2022-12-01, 7318
2023-01-01, 9878
2023-02-01, 9642
2023-03-01, 10441
2023-04-01, 10066
2023-05-01, 10843
2023-06-01, 12276
2023-07-01, 11350
2023-08-01, 10523
2023-09-01, 10138
2023-10-01, 10937
2023-11-01, 10120
2023-12-01, 11913
2024-01-01, 12778
2024-02-01, 13031
2024-03-01, 11981
2024-04-01, 11700
2024-05-01, 11638
2024-06-01, 11424
2024-07-01, 11294
2024-08-01, 13186
2024-09-01, 12068
2024-10-01, 12966
2024-11-01, 14955
2024-12-01, 12845
2025-01-01, 14927
2025-02-01, 16473
2025-03-01, 16327
2025-04-01, 14409
2025-05-01, 15043
2025-06-01, 18106
2025-07-01, 19894
2025-08-01, 19096
2025-09-01, 18948
2025-10-01, 19342
2025-11-01, 19757
2025-12-01, 19976
2026-01-01, 21265
2026-02-01, 21452
2026-03-01, 21700
2026-04-01, 22011
2026-05-01, 22136
2026-06-01, 22708
2026-07-01, 23266
2026-08-01, 23656
2026-09-01, 23505
2026-10-01, 24028
2026-11-01, 24500
2026-12-01, 24818
2027-01-01, 26186
2027-02-01, 26465
