Date, Volume
2015-09-01, 25
2015-10-01, 25
2015-11-01, 30
2015-12-01, 30
2016-01-01, 30
2016-02-01, 25
2016-03-01, 25
2016-04-01, 25
2016-05-01, 25
2016-06-01, 25
2016-07-01, 25
2016-08-01, 25
2016-09-01, 25
2016-10-01, 25
2016-11-01, 25
2016-12-01, 25
2017-01-01, 25
2017-02-01, 25
2017-03-01, 25
2017-04-01, 25
2017-05-01, 25
2017-06-01, 25
2017-07-01, 25
2017-08-01, 25
2017-09-01, 25
2017-10-01, 25
2017-11-01, 25
2017-12-01, 25
2018-01-01, 25
2018-02-01, 25
2018-03-01, 25
2018-04-01, 25
2018-05-01, 25
2018-06-01, 25
2018-07-01, 28
2018-08-01, 28
2018-09-01, 28
2018-10-01, 25
2018-11-01, 25
2018-12-01, 25
2019-01-01, 25
2019-02-01, 25
2019-03-01, 28
2019-04-01, 28
2019-05-01, 28
2019-06-01, 25
2019-07-01, 25
2019-08-01, 25
2019-09-01, 9
2019-10-01, 15
2019-11-01, 15
2019-12-01, 19
2020-01-01, 26
2020-02-01, 30
2020-03-01, 36
2020-04-01, 34
2020-05-01, 43
2020-06-01, 49
2020-07-01, 66
2020-08-01, 72
2020-09-01, 84
2020-10-01, 85
2020-11-01, 103
2020-12-01, 106
2021-01-01, 139
2021-02-01, 115
2021-03-01, 136
2021-04-01, 176
2021-05-01, 172
2021-06-01, 154
2021-07-01, 155
2021-08-01, 152
2021-09-01, 135
2021-10-01, 123
2021-11-01, 126
2021-12-01, 148
2022-01-01, 134
2022-02-01, 124
2022-03-01, 121
2022-04-01, 104
2022-05-01, 105
2022-06-01, 118
2022-07-01, 123
2022-08-01, 129
2022-09-01, 109
2022-10-01, 140
2022-11-01, 120
2022-12-01, 130
2023-01-01, 132
2023-02-01, 131
2023-03-01, 143
2023-04-01, 140
2023-05-01, 115
2023-06-01, 125
2023-07-01, 128
2023-08-01, 108
2023-09-01, 99
2023-10-01, 101
2023-11-01, 126
2023-12-01, 123
2024-01-01, 104
2024-02-01, 93
2024-03-01, 94
2024-04-01, 64
2024-05-01, 72
2024-06-01, 78
2024-07-01, 125
2024-08-01, 145
2024-09-01, 95
2024-10-01, 101
2024-11-01, 97
2024-12-01, 96
2025-01-01, 103
2025-02-01, 94
2025-03-01, 105
2025-04-01, 103
2025-05-01, 102
2025-06-01, 75
2025-07-01, 523
2025-08-01, 927
2025-09-01, 760
2025-10-01, 365
2025-11-01, 1121
2025-12-01, 3655
2026-01-01, 825
2026-02-01, 727
2026-03-01, 735
2026-04-01, 660
2026-05-01, 654
2026-06-01, 646
2026-07-01, 1620
2026-08-01, 1373
2026-09-01, 946
2026-10-01, 860
2026-11-01, 1119
2026-12-01, 911
2027-01-01, 879
2027-02-01, 775
