Date, Volume
2015-09-01, 98
2015-10-01, 130
2015-11-01, 65
2015-12-01, 130
2016-01-01, 65
2016-02-01, 65
2016-03-01, 0
2016-04-01, 0
2016-05-01, 259
2016-06-01, 519
2016-07-01, 584
2016-08-01, 324
2016-09-01, 130
2016-10-01, 65
2016-11-01, 65
2016-12-01, 0
2017-01-01, 130
2017-02-01, 130
2017-03-01, 130
2017-04-01, 0
2017-05-01, 0
2017-06-01, 0
2017-07-01, 0
2017-08-01, 65
2017-09-01, 65
2017-10-01, 65
2017-11-01, 0
2017-12-01, 0
2018-01-01, 65
2018-02-01, 130
2018-03-01, 195
2018-04-01, 130
2018-05-01, 195
2018-06-01, 389
2018-07-01, 843
2018-08-01, 908
2018-09-01, 649
2018-10-01, 260
2018-11-01, 65
2018-12-01, 260
2019-01-01, 195
2019-02-01, 260
2019-03-01, 65
2019-04-01, 389
2019-05-01, 519
2019-06-01, 519
2019-07-01, 389
2019-08-01, 260
2019-09-01, 325
2019-10-01, 130
2019-11-01, 130
2019-12-01, 98
2020-01-01, 49
2020-02-01, 112
2020-03-01, 126
2020-04-01, 139
2020-05-01, 199
2020-06-01, 116
2020-07-01, 428
2020-08-01, 1006
2020-09-01, 773
2020-10-01, 647
2020-11-01, 572
2020-12-01, 450
2021-01-01, 563
2021-02-01, 555
2021-03-01, 632
2021-04-01, 634
2021-05-01, 778
2021-06-01, 812
2021-07-01, 943
2021-08-01, 998
2021-09-01, 703
2021-10-01, 422
2021-11-01, 455
2021-12-01, 289
2022-01-01, 137
2022-02-01, 87
2022-03-01, 320
2022-04-01, 635
2022-05-01, 760
2022-06-01, 811
2022-07-01, 866
2022-08-01, 1134
2022-09-01, 1028
2022-10-01, 666
2022-11-01, 604
2022-12-01, 556
2023-01-01, 621
2023-02-01, 571
2023-03-01, 578
2023-04-01, 714
2023-05-01, 670
2023-06-01, 827
2023-07-01, 881
2023-08-01, 1084
2023-09-01, 811
2023-10-01, 768
2023-11-01, 667
2023-12-01, 630
2024-01-01, 710
2024-02-01, 605
2024-03-01, 615
2024-04-01, 224
2024-05-01, 172
2024-06-01, 148
2024-07-01, 173
2024-08-01, 404
2024-09-01, 142
2024-10-01, 248
2024-11-01, 104
2024-12-01, 110
2025-01-01, 459
2025-02-01, 491
2025-03-01, 701
2025-04-01, 786
2025-05-01, 748
2025-06-01, 919
2025-07-01, 948
2025-08-01, 1218
2025-09-01, 951
2025-10-01, 645
2025-11-01, 484
2025-12-01, 606
2026-01-01, 532
2026-02-01, 542
