Date, Volume
2015-09-01, 178
2015-10-01, 166
2015-11-01, 178
2015-12-01, 203
2016-01-01, 203
2016-02-01, 191
2016-03-01, 178
2016-04-01, 240
2016-05-01, 264
2016-06-01, 203
2016-07-01, 142
2016-08-01, 129
2016-09-01, 178
2016-10-01, 166
2016-11-01, 215
2016-12-01, 178
2017-01-01, 178
2017-02-01, 117
2017-03-01, 117
2017-04-01, 117
2017-05-01, 117
2017-06-01, 105
2017-07-01, 105
2017-08-01, 129
2017-09-01, 129
2017-10-01, 154
2017-11-01, 154
2017-12-01, 178
2018-01-01, 166
2018-02-01, 154
2018-03-01, 142
2018-04-01, 129
2018-05-01, 129
2018-06-01, 117
2018-07-01, 129
2018-08-01, 166
2018-09-01, 203
2018-10-01, 240
2018-11-01, 191
2018-12-01, 191
2019-01-01, 178
2019-02-01, 215
2019-03-01, 191
2019-04-01, 154
2019-05-01, 117
2019-06-01, 105
2019-07-01, 166
2019-08-01, 178
2019-09-01, 184
2019-10-01, 148
2019-11-01, 148
2019-12-01, 186
2020-01-01, 149
2020-02-01, 99
2020-03-01, 126
2020-04-01, 123
2020-05-01, 159
2020-06-01, 153
2020-07-01, 156
2020-08-01, 185
2020-09-01, 122
2020-10-01, 150
2020-11-01, 215
2020-12-01, 222
2021-01-01, 221
2021-02-01, 147
2021-03-01, 143
2021-04-01, 145
2021-05-01, 145
2021-06-01, 118
2021-07-01, 120
2021-08-01, 100
2021-09-01, 116
2021-10-01, 141
2021-11-01, 213
2021-12-01, 175
2022-01-01, 174
2022-02-01, 140
2022-03-01, 143
2022-04-01, 166
2022-05-01, 119
2022-06-01, 112
2022-07-01, 114
2022-08-01, 136
2022-09-01, 117
2022-10-01, 140
2022-11-01, 214
2022-12-01, 180
2023-01-01, 180
2023-02-01, 212
2023-03-01, 210
2023-04-01, 139
2023-05-01, 141
2023-06-01, 138
2023-07-01, 113
2023-08-01, 136
2023-09-01, 138
2023-10-01, 137
2023-11-01, 204
2023-12-01, 206
2024-01-01, 204
2024-02-01, 139
2024-03-01, 135
2024-04-01, 110
2024-05-01, 110
2024-06-01, 133
2024-07-01, 89
2024-08-01, 107
2024-09-01, 133
2024-10-01, 112
2024-11-01, 172
2024-12-01, 210
2025-01-01, 196
2025-02-01, 166
2025-03-01, 106
2025-04-01, 136
2025-05-01, 107
2025-06-01, 89
2025-07-01, 109
2025-08-01, 92
2025-09-01, 89
2025-10-01, 131
2025-11-01, 136
2025-12-01, 173
2026-01-01, 151
2026-02-01, 135
2026-03-01, 124
2026-04-01, 121
2026-05-01, 118
2026-06-01, 105
2026-07-01, 102
2026-08-01, 111
2026-09-01, 115
2026-10-01, 123
2026-11-01, 150
2026-12-01, 152
2027-01-01, 145
2027-02-01, 130
