Date, Volume
2015-09-01, 878
2015-10-01, 826
2015-11-01, 891
2015-12-01, 891
2016-01-01, 917
2016-02-01, 917
2016-03-01, 839
2016-04-01, 826
2016-05-01, 774
2016-06-01, 774
2016-07-01, 723
2016-08-01, 748
2016-09-01, 800
2016-10-01, 982
2016-11-01, 1086
2016-12-01, 1125
2017-01-01, 1047
2017-02-01, 1047
2017-03-01, 904
2017-04-01, 852
2017-05-01, 748
2017-06-01, 839
2017-07-01, 800
2017-08-01, 813
2017-09-01, 697
2017-10-01, 774
2017-11-01, 839
2017-12-01, 1073
2018-01-01, 1086
2018-02-01, 1008
2018-03-01, 813
2018-04-01, 891
2018-05-01, 865
2018-06-01, 891
2018-07-01, 697
2018-08-01, 800
2018-09-01, 839
2018-10-01, 969
2018-11-01, 1008
2018-12-01, 982
2019-01-01, 969
2019-02-01, 956
2019-03-01, 930
2019-04-01, 839
2019-05-01, 736
2019-06-01, 723
2019-07-01, 697
2019-08-01, 671
2019-09-01, 529
2019-10-01, 701
2019-11-01, 809
2019-12-01, 1013
2020-01-01, 862
2020-02-01, 924
2020-03-01, 683
2020-04-01, 799
2020-05-01, 877
2020-06-01, 812
2020-07-01, 849
2020-08-01, 740
2020-09-01, 739
2020-10-01, 1119
2020-11-01, 1313
2020-12-01, 1853
2021-01-01, 1366
2021-02-01, 930
2021-03-01, 807
2021-04-01, 848
2021-05-01, 808
2021-06-01, 822
2021-07-01, 834
2021-08-01, 833
2021-09-01, 712
2021-10-01, 885
2021-11-01, 1184
2021-12-01, 1139
2022-01-01, 1087
2022-02-01, 917
2022-03-01, 1017
2022-04-01, 857
2022-05-01, 786
2022-06-01, 711
2022-07-01, 659
2022-08-01, 749
2022-09-01, 848
2022-10-01, 1007
2022-11-01, 1347
2022-12-01, 1290
2023-01-01, 1128
2023-02-01, 915
2023-03-01, 964
2023-04-01, 921
2023-05-01, 929
2023-06-01, 735
2023-07-01, 729
2023-08-01, 840
2023-09-01, 773
2023-10-01, 1035
2023-11-01, 1425
2023-12-01, 1242
2024-01-01, 1428
2024-02-01, 995
2024-03-01, 1121
2024-04-01, 1128
2024-05-01, 938
2024-06-01, 910
2024-07-01, 1074
2024-08-01, 1082
2024-09-01, 1079
2024-10-01, 1363
2024-11-01, 1615
2024-12-01, 1951
2025-01-01, 7619
2025-02-01, 7453
2025-03-01, 6103
2025-04-01, 1733
2025-05-01, 1479
2025-06-01, 2343
2025-07-01, 4212
2025-08-01, 4211
2025-09-01, 4172
2025-10-01, 4269
2025-11-01, 5982
2025-12-01, 13110
2026-01-01, 6256
2026-02-01, 6077
2026-03-01, 5796
2026-04-01, 5317
2026-05-01, 5194
2026-06-01, 5349
2026-07-01, 5343
2026-08-01, 5282
2026-09-01, 5183
2026-10-01, 5326
2026-11-01, 5537
2026-12-01, 5606
2027-01-01, 6104
2027-02-01, 5903
