Date, Volume
2015-09-01, 954
2015-10-01, 960
2015-11-01, 960
2015-12-01, 960
2016-01-01, 1025
2016-02-01, 1012
2016-03-01, 1064
2016-04-01, 1025
2016-05-01, 1090
2016-06-01, 1051
2016-07-01, 1077
2016-08-01, 973
2016-09-01, 935
2016-10-01, 935
2016-11-01, 1077
2016-12-01, 1116
2017-01-01, 1077
2017-02-01, 1116
2017-03-01, 1090
2017-04-01, 1103
2017-05-01, 935
2017-06-01, 922
2017-07-01, 883
2017-08-01, 961
2017-09-01, 1038
2017-10-01, 1038
2017-11-01, 999
2017-12-01, 1012
2018-01-01, 1025
2018-02-01, 1012
2018-03-01, 1025
2018-04-01, 986
2018-05-01, 961
2018-06-01, 922
2018-07-01, 935
2018-08-01, 973
2018-09-01, 935
2018-10-01, 922
2018-11-01, 883
2018-12-01, 883
2019-01-01, 948
2019-02-01, 999
2019-03-01, 999
2019-04-01, 935
2019-05-01, 883
2019-06-01, 961
2019-07-01, 1064
2019-08-01, 1142
2019-09-01, 878
2019-10-01, 852
2019-11-01, 962
2019-12-01, 1033
2020-01-01, 963
2020-02-01, 883
2020-03-01, 875
2020-04-01, 1019
2020-05-01, 2085
2020-06-01, 1748
2020-07-01, 1759
2020-08-01, 1447
2020-09-01, 1430
2020-10-01, 1757
2020-11-01, 1784
2020-12-01, 2974
2021-01-01, 2066
2021-02-01, 1295
2021-03-01, 1322
2021-04-01, 1220
2021-05-01, 1215
2021-06-01, 985
2021-07-01, 1210
2021-08-01, 991
2021-09-01, 936
2021-10-01, 979
2021-11-01, 1205
2021-12-01, 1201
2022-01-01, 998
2022-02-01, 844
2022-03-01, 1012
2022-04-01, 993
2022-05-01, 957
2022-06-01, 832
2022-07-01, 879
2022-08-01, 850
2022-09-01, 714
2022-10-01, 891
2022-11-01, 963
2022-12-01, 1220
2023-01-01, 1270
2023-02-01, 1060
2023-03-01, 1061
2023-04-01, 1042
2023-05-01, 1038
2023-06-01, 893
2023-07-01, 1024
2023-08-01, 1014
2023-09-01, 1015
2023-10-01, 1008
2023-11-01, 1273
2023-12-01, 1471
2024-01-01, 1483
2024-02-01, 1233
2024-03-01, 1231
2024-04-01, 991
2024-05-01, 1001
2024-06-01, 1423
2024-07-01, 1215
2024-08-01, 974
2024-09-01, 1673
2024-10-01, 1413
2024-11-01, 1263
2024-12-01, 1470
2025-01-01, 1483
2025-02-01, 1225
2025-03-01, 1259
2025-04-01, 1028
2025-05-01, 1015
2025-06-01, 1003
2025-07-01, 1113
2025-08-01, 965
2025-09-01, 938
2025-10-01, 926
2025-11-01, 1033
2025-12-01, 1110
2026-01-01, 1103
2026-02-01, 993
2026-03-01, 1001
2026-04-01, 969
2026-05-01, 1157
2026-06-01, 1050
2026-07-01, 1077
2026-08-01, 989
2026-09-01, 1057
2026-10-01, 1038
2026-11-01, 1107
2026-12-01, 1290
2027-01-01, 1179
2027-02-01, 1061
