#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (03-2024 - 02-2026),SV Forecasting trend (03-2026 - 03-2027)
1,natural body lotion,us,3,1300,0.40,0.95,pure lotion,2026-03-07 17:20:36,"AI Overview,Thumbnail,Sitelinks,People also ask,Shopping,Video preview",3800,400,400,2015-09-02,"Informational,Commercial,Non-branded,Non-local",English,"1529, 1298, 1307, 1221, 1627, 920, 1042, 1123, 1514, 1410, 2025, 1169, 1173, 1180, 1212, 1173, 1205, 1451, 1410, 1093, 1202, 2402, 1229, 1061","1082, 1065, 1288, 1208, 1327, 1169, 1129, 1101, 1222, 1211, 1239, 1071"
2,natural lotion,us,3,1100,0.50,0.73,organic body lotion,2026-03-02 21:38:47,"AI Overview,Thumbnail,Video preview,Sitelinks,People also ask,Shopping",1600,600,600,2015-09-03,"Informational,Commercial,Non-branded,Non-local",English,"1231, 991, 1001, 1423, 1215, 974, 1673, 1413, 1263, 1470, 1483, 1225, 1259, 1028, 1015, 1003, 1113, 965, 938, 926, 1033, 1110, 1103, 993","1001, 969, 1157, 1050, 1077, 989, 1057, 1038, 1107, 1290, 1179, 1061"
3,natural tanning lotion,us,11,600,1.00,0.82,beauty by earth self tanner,2026-03-05 05:24:03,"AI Overview,Thumbnail,Video preview,Shopping,People also ask,Sitelinks,Discussions",800,6200,6300,2015-09-22,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"646, 996, 985, 999, 592, 426, 296, 248, 213, 216, 319, 456, 851, 1016, 1020, 985, 555, 367, 289, 203, 205, 304, 384, 452","595, 734, 763, 735, 535, 365, 301, 288, 313, 366, 492, 560"
4,all natural lotion,us,4,600,0.50,0.93,goat milk lotion,2026-03-02 00:41:07,"AI Overview,Thumbnail,Video preview,Sitelinks,Discussions,Shopping,People also ask",700,1700,1700,2015-09-30,"Informational,Commercial,Non-branded,Non-local",English,"721, 713, 649, 641, 714, 630, 612, 714, 738, 898, 917, 648, 717, 559, 561, 465, 586, 486, 553, 481, 554, 710, 722, 651","646, 646, 633, 599, 637, 614, 602, 651, 697, 802, 732, 662"
5,all natural body lotion,us,3,450,0.35,1.21,natural lotion,2026-02-14 22:17:50,"AI Overview,Thumbnail,Sitelinks,People also ask,Shopping,Discussions,Video preview",700,1500,1500,2015-09-24,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"600, 488, 478, 442, 441, 467, 486, 493, 514, 636, 723, 636, 613, 471, 395, 306, 439, 380, 376, 369, 436, 455, 472, 425","401, 383, 370, 347, 377, 377, 345, 346, 421, 449, 455, 408"
6,best natural body lotion,us,1,450,0.30,1.48,non toxic body lotion,2026-02-04 12:02:39,"AI Overview,Thumbnail,Sitelinks,People also ask,Discussions,Shopping,Top stories,Video preview",1000,3100,3100,2015-11-06,"Informational,Commercial,Non-branded,Non-local",English,"745, 591, 585, 735, 732, 513, 590, 604, 621, 734, 870, 586, 547, 454, 468, 422, 456, 465, 369, 372, 436, 451, 581, 500","471, 480, 466, 444, 434, 405, 397, 409, 446, 474, 505, 438"
7,best natural lotion,us,0,400,0.30,0.91,best body moisturizer,2026-03-01 11:27:46,"AI Overview,Thumbnail,Video preview,People also ask,Sitelinks,Shopping",500,4500,4600,2015-10-15,"Informational,Commercial,Non-branded,Non-local",English,"598, 471, 465, 581, 575, 414, 477, 491, 498, 583, 664, 444, 462, 367, 373, 318, 365, 354, 282, 283, 365, 367, 525, 462","457, 447, 409, 399, 404, 402, 424, 423, 452, 484, 524, 461"
8,natural body lotion without chemicals,us,1,350,0.35,,chemical free body lotion,2026-02-25 13:27:00,"AI Overview,Thumbnail,Sitelinks,People also ask,Shopping,Video preview",700,400,400,2019-09-12,"Informational,Commercial,Non-branded,Non-local",English,"338, 323, 291, 294, 609, 501, 437, 441, 458, 537, 669, 380, 367, 297, 299, 303, 264, 317, 372, 311, 389, 372, 461, 321","405, 327, 311, 316, 525, 391, 380, 348, 397, 438, 532, 283"
9,natural face lotion,us,6,350,0.60,0.83,best natural face moisturizer,2026-01-31 09:39:07,"AI Overview,Thumbnail,Sitelinks,Shopping,People also ask,Discussions,Video preview",450,4400,4500,2015-09-29,"Informational,Commercial,Non-branded,Non-local",English,"275, 226, 227, 220, 221, 229, 227, 285, 242, 282, 340, 270, 466, 466, 387, 270, 286, 246, 327, 269, 283, 469, 309, 298","329, 321, 295, 276, 293, 286, 291, 291, 297, 308, 322, 311"
10,nivea natural fairness body lotion,us,0,250,0.07,,nivea natural fairness body lotion,2026-03-08 07:51:34,"Sitelinks,Shopping,Thumbnail,People also ask,Video preview",1600,100,100,2016-05-24,"Informational,Commercial,Transactional,Branded,Non-local",English,"82, 62, 62, 25, 39, 40, 53, 66, 87, 68, 89, 64, 86, 206, 830, 900, 303, 190, 100, 67, 30, 49, 87, 78","90, 113, 372, 418, 134, 118, 100, 93, 93, 86, 87, 78"
11,natural baby lotion,us,1,250,,1.33,earth mama baby lotion,2026-02-04 14:58:56,"Shopping,Thumbnail,AI Overview,Sitelinks,People also ask,Discussions,Video preview",600,200,200,2015-09-26,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"236, 233, 247, 207, 255, 208, 248, 249, 213, 270, 317, 253, 292, 246, 242, 211, 225, 203, 241, 216, 191, 244, 222, 220",
12,natural hand lotion,us,0,250,0.35,0.76,best hand creams for dry skin,2026-02-25 11:37:59,"Thumbnail,Shopping,People also ask,Discussions,Top stories,Sitelinks,Video preview",500,5400,6500,2015-10-29,"Informational,Commercial,Non-branded,Non-local",English,"245, 192, 129, 127, 130, 122, 174, 231, 326, 410, 404, 233, 240, 196, 196, 161, 206, 206, 211, 199, 332, 474, 315, 233","270, 255, 221, 158, 173, 179, 184, 226, 366, 441, 329, 244"
13,jergens natural glow lotion,us,0,250,0.20,,jergens natural glow,2026-02-19 19:35:09,"AI Overview,Thumbnail,Video preview,People also ask,Discussions,Sitelinks,Knowledge panel",350,2500,2600,2015-09-30,"Informational,Commercial,Branded,Non-local",English,"320, 388, 475, 387, 270, 147, 173, 120, 146, 151, 182, 225, 373, 439, 463, 446, 287, 194, 179, 171, 135, 152, 163, 176","237, 265, 250, 191, 134, 101, 100, 79, 72, 70, 99, 117"
14,best aftershave lotion with natural ingredients,us,,250,,,,,,300,,,2025-02-23,,,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 202, 325, 272, 424, 409, 377, 367, 274, 173, 112, 120, 77",
15,best natural baby lotion,us,2,200,,,best baby lotion,2026-02-06 16:33:16,"Thumbnail,Sitelinks,AI Overview,People also ask,Shopping,Discussions,Top stories,Video preview",400,1200,1300,2015-11-13,"Informational,Commercial,Non-branded,Non-local",English,,
16,nivea natural fairness body lotion image,us,,150,,,,,,150,,,2025-04-06,,,,
17,natural lotion for face,us,2,150,1.20,,natural face moisturizer,2026-01-07 15:07:55,"Thumbnail,People also ask,Discussions,Shopping,Sitelinks",200,800,800,2017-10-21,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
18,jergens natural glow tanning lotion,us,0,150,0.25,,jergens self tanner,2026-02-03 04:19:28,"AI Overview,Thumbnail,Sitelinks,Shopping,People also ask,Top stories,Video preview",150,1700,1900,2016-05-17,"Informational,Commercial,Branded,Non-local",English,,
19,best all natural body lotion,us,0,150,0.40,1.23,non toxic body lotion,2025-12-14 11:21:44,"AI Overview,Thumbnail,Top ads,Paid sitelinks,Sitelinks,People also ask,Shopping,Video preview,Bottom ads",200,2400,2500,2015-09-09,"Informational,Commercial,Non-branded,Non-local",English,"204, 206, 161, 174, 178, 165, 166, 198, 211, 241, 307, 250, 198, 192, 164, 135, 157, 151, 125, 135, 151, 179, 182, 168","155, 158, 147, 147, 157, 150, 127, 137, 150, 168, 182, 168"
20,all natural tanning lotion,us,5,150,1.00,,beauty by earth self tanner,2026-02-17 15:31:33,"Shopping,Thumbnail,People also ask,Sitelinks,Top stories,Video preview",150,5500,5600,2015-10-13,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"169, 244, 249, 203, 129, 69, 42, 42, 56, 69, 92, 134, 214, 253, 254, 205, 113, 64, 59, 36, 45, 77, 83, 84","126, 164, 166, 139, 96, 64, 38, 41, 47, 49, 82, 84"
21,natural self tanning lotion,us,2,150,0.90,,beauty by earth self tanner,2025-12-28 18:08:52,"AI Overview,Thumbnail,Shopping,People also ask,Sitelinks,Discussions,Top stories,Video preview",250,2300,2400,2016-02-07,"Informational,Commercial,Non-branded,Non-local",English,,
22,best natural tanning lotion,us,3,150,0.70,1.08,natural self tanner,2025-12-18 06:28:46,"AI Overview,Thumbnail,Shopping,People also ask,Discussions,Top stories",150,1800,1900,2015-12-03,"Informational,Commercial,Non-branded,Non-local",English,"178, 260, 317, 267, 143, 91, 126, 106, 62, 73, 93, 91, 221, 271, 281, 248, 119, 79, 48, 46, 32, 32, 106, 118","191, 233, 238, 190, 125, 92, 90, 81, 77, 84, 107, 118"
23,setting lotion for natural hair,us,0,150,0.10,1.09,setting lotion,2026-01-06 03:39:18,"AI Overview,Thumbnail,Shopping,People also ask,Discussions,Sitelinks,Video preview",200,100,100,2015-12-29,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"155, 123, 126, 147, 187, 228, 334, 234, 141, 135, 170, 172, 145, 176, 179, 167, 83, 141, 145, 153, 150, 168, 157, 140","149, 154, 171, 175, 166, 152, 158, 162, 148, 156, 157, 140"
24,best all natural lotion,us,4,150,0.40,1.13,non toxic body lotion,2025-11-20 07:06:27,"AI Overview,Thumbnail,People also ask,Sitelinks,Shopping,Video preview",150,1800,1800,2016-01-16,"Informational,Commercial,Non-branded,Non-local",English,"176, 170, 143, 151, 141, 141, 140, 178, 177, 210, 239, 199, 161, 156, 133, 115, 126, 133, 106, 109, 130, 156, 144, 128","114, 120, 108, 106, 100, 106, 102, 111, 129, 130, 142, 126"
25,all natural baby lotion,us,3,150,,,organic baby lotion,2025-11-22 16:32:04,"Thumbnail,Sitelinks,Shopping,Video preview,Discussions,Top stories",150,350,400,2015-09-06,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"115, 108, 91, 70, 95, 97, 125, 116, 119, 114, 167, 123, 142, 130, 107, 92, 149, 127, 122, 126, 119, 124, 135, 127",
26,nivea natural fairness lotion,us,,150,,,,,,400,,,2020-01-13,"Informational,Commercial,Branded,Non-local",English,,
27,natural lotion brands,us,2,150,0.50,,organic body lotion,2025-12-31 20:55:33,"Thumbnail,People also ask,Sitelinks,Discussions,Shopping",200,1100,1400,2015-12-30,"Informational,Commercial,Non-branded,Non-local",English,,
28,nivea natural glow body lotion,us,0,100,,,nivea natural glow body lotion,2025-12-26 21:56:47,"Thumbnail,Shopping,People also ask,Sitelinks",2400,20,300,2022-04-10,"Informational,Commercial,Transactional,Branded,Non-local",English,,
29,jergens natural glow body lotion,us,,100,,,,,,150,,,2016-09-11,"Informational,Commercial,Transactional,Branded,Non-local",English,,
30,how do you make natural body lotion?,us,,100,,,,,,100,,,2025-06-25,,,,
31,natural lotion recipe,us,2,100,,1.22,natural lotion recipe,2025-12-29 14:26:01,"AI Overview,Thumbnail,Video preview,People also ask,Sitelinks",150,300,350,2015-09-09,"Informational,Non-branded,Non-local",English,,
32,best natural lotion for dry skin,us,0,100,0.35,1.07,non toxic body lotion,2025-12-25 04:30:09,"AI Overview,Thumbnail,People also ask,Sitelinks,Discussions,Shopping,Top stories",150,2700,2800,2015-10-24,"Informational,Commercial,Non-branded,Non-local",English,,
33,face lotion natural,us,2,100,,,natural face moisturizer,2026-01-02 10:08:19,"Sitelinks,AI Overview,Shopping,Thumbnail,Discussions,People also ask,Top stories,Video preview",100,1700,1700,2016-09-30,"Informational,Commercial,Non-branded,Non-local",English,,
34,natural glow lotion,us,0,100,0.35,,jergens self tanner,2025-12-28 11:07:17,"Shopping,Thumbnail,People also ask,Discussions,Sitelinks,Top stories,Video preview",250,2700,2900,2017-02-14,"Informational,Commercial,Transactional,Non-branded,Non-local",English,"229, 231, 282, 276, 159, 125, 88, 71, 68, 51, 70, 90, 161, 167, 198, 167, 116, 77, 69, 66, 82, 77, 102, 122","160, 177, 199, 184, 138, 113, 109, 102, 103, 98, 122, 143"
35,natural lotion for dry skin,us,0,100,0.50,,best natural body lotion,2025-12-28 17:51:02,"AI Overview,Thumbnail,Sitelinks,People also ask,Shopping,Discussions",200,80,80,2015-11-20,"Informational,Commercial,Non-branded,Non-local",English,,
36,best natural face lotion,us,0,100,0.50,2.38,natural moisturizer,2025-12-17 15:57:54,"AI Overview,Thumbnail,Sitelinks,People also ask,Shopping,Top stories,Video preview",200,6900,9700,2016-08-20,"Informational,Commercial,Non-branded,Non-local",English,"117, 110, 91, 88, 107, 91, 89, 113, 113, 121, 172, 121, 112, 107, 89, 86, 85, 80, 74, 81, 95, 93, 127, 113","100, 96, 89, 84, 90, 91, 96, 97, 93, 104, 127, 113"
37,natural body lotion for dry skin,us,0,100,3.00,,healthiest lotion for skin,2026-01-04 11:39:02,"AI Overview,Thumbnail,Shopping,People also ask,Sitelinks,Discussions,Top stories,Video preview",250,60,60,2016-01-25,"Informational,Commercial,Non-branded,Non-local",English,,
38,best natural hand lotion,us,0,90,0.30,,best hand cream,2025-12-30 09:24:34,"Thumbnail,People also ask,Discussions,Sitelinks,Shopping,Video preview,Top stories",100,5200,6600,2015-12-24,"Informational,Commercial,Non-branded,Non-local",English,"145, 97, 68, 60, 61, 51, 68, 124, 154, 227, 191, 117, 99, 79, 59, 39, 43, 54, 44, 75, 122, 191, 117, 98","97, 77, 60, 55, 62, 63, 63, 83, 129, 151, 117, 98"
39,all natural hand lotion,us,0,90,1.30,,best hand creams for dry skin,2026-03-06 13:59:04,"Thumbnail,People also ask,Shopping,Sitelinks,Top stories,Discussions",100,5500,6900,2015-09-27,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
