Date, Volume
2015-09-01, 102
2015-10-01, 102
2015-11-01, 102
2015-12-01, 113
2016-01-01, 113
2016-02-01, 113
2016-03-01, 102
2016-04-01, 113
2016-05-01, 113
2016-06-01, 113
2016-07-01, 102
2016-08-01, 102
2016-09-01, 113
2016-10-01, 136
2016-11-01, 136
2016-12-01, 125
2017-01-01, 102
2017-02-01, 113
2017-03-01, 113
2017-04-01, 147
2017-05-01, 136
2017-06-01, 136
2017-07-01, 102
2017-08-01, 125
2017-09-01, 147
2017-10-01, 147
2017-11-01, 125
2017-12-01, 102
2018-01-01, 102
2018-02-01, 102
2018-03-01, 113
2018-04-01, 124
2018-05-01, 124
2018-06-01, 113
2018-07-01, 102
2018-08-01, 102
2018-09-01, 102
2018-10-01, 102
2018-11-01, 102
2018-12-01, 102
2019-01-01, 113
2019-02-01, 113
2019-03-01, 124
2019-04-01, 113
2019-05-01, 124
2019-06-01, 191
2019-07-01, 191
2019-08-01, 180
2019-09-01, 68
2019-10-01, 92
2019-11-01, 92
2019-12-01, 98
2020-01-01, 101
2020-02-01, 106
2020-03-01, 111
2020-04-01, 134
2020-05-01, 132
2020-06-01, 138
2020-07-01, 122
2020-08-01, 323
2020-09-01, 265
2020-10-01, 258
2020-11-01, 322
2020-12-01, 322
2021-01-01, 324
2021-02-01, 224
2021-03-01, 226
2021-04-01, 194
2021-05-01, 192
2021-06-01, 186
2021-07-01, 221
2021-08-01, 242
2021-09-01, 254
2021-10-01, 238
2021-11-01, 223
2021-12-01, 199
2022-01-01, 158
2022-02-01, 135
2022-03-01, 150
2022-04-01, 149
2022-05-01, 145
2022-06-01, 140
2022-07-01, 170
2022-08-01, 168
2022-09-01, 147
2022-10-01, 167
2022-11-01, 153
2022-12-01, 156
2023-01-01, 164
2023-02-01, 138
2023-03-01, 136
2023-04-01, 154
2023-05-01, 139
2023-06-01, 137
2023-07-01, 156
2023-08-01, 164
2023-09-01, 166
2023-10-01, 154
2023-11-01, 153
2023-12-01, 154
2024-01-01, 160
2024-02-01, 134
2024-03-01, 150
2024-04-01, 161
2024-05-01, 190
2024-06-01, 196
2024-07-01, 192
2024-08-01, 156
2024-09-01, 194
2024-10-01, 228
2024-11-01, 259
2024-12-01, 223
2025-01-01, 183
2025-02-01, 159
2025-03-01, 168
2025-04-01, 167
2025-05-01, 169
2025-06-01, 156
2025-07-01, 212
2025-08-01, 496
2025-09-01, 399
2025-10-01, 416
2025-11-01, 499
2025-12-01, 336
2026-01-01, 350
2026-02-01, 313
2026-03-01, 315
2026-04-01, 347
2026-05-01, 345
2026-06-01, 347
2026-07-01, 350
2026-08-01, 512
2026-09-01, 427
2026-10-01, 425
2026-11-01, 425
2026-12-01, 405
2027-01-01, 374
2027-02-01, 335
