Date, Volume
2015-09-01, 419
2015-10-01, 419
2015-11-01, 457
2015-12-01, 470
2016-01-01, 496
2016-02-01, 470
2016-03-01, 483
2016-04-01, 470
2016-05-01, 457
2016-06-01, 432
2016-07-01, 406
2016-08-01, 444
2016-09-01, 496
2016-10-01, 548
2016-11-01, 496
2016-12-01, 431
2017-01-01, 419
2017-02-01, 470
2017-03-01, 509
2017-04-01, 548
2017-05-01, 509
2017-06-01, 496
2017-07-01, 419
2017-08-01, 431
2017-09-01, 431
2017-10-01, 457
2017-11-01, 457
2017-12-01, 470
2018-01-01, 496
2018-02-01, 483
2018-03-01, 444
2018-04-01, 444
2018-05-01, 444
2018-06-01, 444
2018-07-01, 457
2018-08-01, 444
2018-09-01, 483
2018-10-01, 457
2018-11-01, 509
2018-12-01, 548
2019-01-01, 509
2019-02-01, 496
2019-03-01, 432
2019-04-01, 445
2019-05-01, 419
2019-06-01, 445
2019-07-01, 522
2019-08-01, 548
2019-09-01, 491
2019-10-01, 413
2019-11-01, 374
2019-12-01, 313
2020-01-01, 399
2020-02-01, 434
2020-03-01, 341
2020-04-01, 430
2020-05-01, 396
2020-06-01, 421
2020-07-01, 644
2020-08-01, 632
2020-09-01, 684
2020-10-01, 759
2020-11-01, 779
2020-12-01, 762
2021-01-01, 731
2021-02-01, 552
2021-03-01, 674
2021-04-01, 765
2021-05-01, 761
2021-06-01, 785
2021-07-01, 766
2021-08-01, 763
2021-09-01, 665
2021-10-01, 627
2021-11-01, 538
2021-12-01, 690
2022-01-01, 790
2022-02-01, 688
2022-03-01, 812
2022-04-01, 793
2022-05-01, 787
2022-06-01, 775
2022-07-01, 815
2022-08-01, 995
2022-09-01, 800
2022-10-01, 1010
2022-11-01, 810
2022-12-01, 805
2023-01-01, 1221
2023-02-01, 1018
2023-03-01, 1273
2023-04-01, 1252
2023-05-01, 1269
2023-06-01, 1493
2023-07-01, 1460
2023-08-01, 1450
2023-09-01, 1243
2023-10-01, 1265
2023-11-01, 1239
2023-12-01, 1455
2024-01-01, 1760
2024-02-01, 1749
2024-03-01, 1787
2024-04-01, 1800
2024-05-01, 1795
2024-06-01, 1423
2024-07-01, 1430
2024-08-01, 1821
2024-09-01, 1794
2024-10-01, 1839
2024-11-01, 2212
2024-12-01, 1793
2025-01-01, 1854
2025-02-01, 1813
2025-03-01, 1927
2025-04-01, 1862
2025-05-01, 1848
2025-06-01, 1506
2025-07-01, 1493
2025-08-01, 1495
2025-09-01, 1446
2025-10-01, 1251
2025-11-01, 1231
2025-12-01, 1048
2026-01-01, 1295
2026-02-01, 1237
2026-03-01, 1279
2026-04-01, 1279
2026-05-01, 1260
2026-06-01, 1226
2026-07-01, 1233
2026-08-01, 1278
2026-09-01, 1214
2026-10-01, 1253
2026-11-01, 1229
2026-12-01, 1203
2027-01-01, 1286
2027-02-01, 1227
