Date, Volume
2015-09-01, 152
2015-10-01, 139
2015-11-01, 113
2015-12-01, 139
2016-01-01, 139
2016-02-01, 152
2016-03-01, 126
2016-04-01, 152
2016-05-01, 139
2016-06-01, 139
2016-07-01, 113
2016-08-01, 126
2016-09-01, 139
2016-10-01, 152
2016-11-01, 152
2016-12-01, 178
2017-01-01, 178
2017-02-01, 165
2017-03-01, 126
2017-04-01, 126
2017-05-01, 139
2017-06-01, 152
2017-07-01, 139
2017-08-01, 126
2017-09-01, 126
2017-10-01, 139
2017-11-01, 152
2017-12-01, 139
2018-01-01, 126
2018-02-01, 113
2018-03-01, 165
2018-04-01, 165
2018-05-01, 165
2018-06-01, 165
2018-07-01, 165
2018-08-01, 178
2018-09-01, 165
2018-10-01, 178
2018-11-01, 165
2018-12-01, 139
2019-01-01, 139
2019-02-01, 139
2019-03-01, 126
2019-04-01, 113
2019-05-01, 126
2019-06-01, 126
2019-07-01, 126
2019-08-01, 126
2019-09-01, 102
2019-10-01, 146
2019-11-01, 89
2019-12-01, 108
2020-01-01, 136
2020-02-01, 109
2020-03-01, 91
2020-04-01, 116
2020-05-01, 150
2020-06-01, 128
2020-07-01, 164
2020-08-01, 168
2020-09-01, 166
2020-10-01, 150
2020-11-01, 154
2020-12-01, 116
2021-01-01, 168
2021-02-01, 112
2021-03-01, 136
2021-04-01, 136
2021-05-01, 113
2021-06-01, 144
2021-07-01, 137
2021-08-01, 159
2021-09-01, 201
2021-10-01, 199
2021-11-01, 177
2021-12-01, 151
2022-01-01, 220
2022-02-01, 200
2022-03-01, 238
2022-04-01, 273
2022-05-01, 187
2022-06-01, 182
2022-07-01, 256
2022-08-01, 255
2022-09-01, 302
2022-10-01, 258
2022-11-01, 256
2022-12-01, 218
2023-01-01, 262
2023-02-01, 218
2023-03-01, 221
2023-04-01, 407
2023-05-01, 393
2023-06-01, 383
2023-07-01, 383
2023-08-01, 318
2023-09-01, 264
2023-10-01, 312
2023-11-01, 311
2023-12-01, 317
2024-01-01, 319
2024-02-01, 306
2024-03-01, 384
2024-04-01, 381
2024-05-01, 389
2024-06-01, 385
2024-07-01, 397
2024-08-01, 395
2024-09-01, 378
2024-10-01, 470
2024-11-01, 403
2024-12-01, 392
2025-01-01, 464
2025-02-01, 394
2025-03-01, 473
2025-04-01, 385
2025-05-01, 462
2025-06-01, 473
2025-07-01, 476
2025-08-01, 568
2025-09-01, 480
2025-10-01, 568
2025-11-01, 571
2025-12-01, 803
2026-01-01, 646
2026-02-01, 580
2026-03-01, 623
2026-04-01, 687
2026-05-01, 681
2026-06-01, 670
2026-07-01, 703
2026-08-01, 699
2026-09-01, 717
2026-10-01, 744
2026-11-01, 694
2026-12-01, 720
2027-01-01, 757
2027-02-01, 679
2027-03-01, 727
