Date, Volume
2015-09-01, 873
2015-10-01, 899
2015-11-01, 964
2015-12-01, 1054
2016-01-01, 1054
2016-02-01, 990
2016-03-01, 977
2016-04-01, 951
2016-05-01, 977
2016-06-01, 938
2016-07-01, 938
2016-08-01, 938
2016-09-01, 899
2016-10-01, 899
2016-11-01, 925
2016-12-01, 964
2017-01-01, 1015
2017-02-01, 1002
2017-03-01, 1002
2017-04-01, 1002
2017-05-01, 951
2017-06-01, 1002
2017-07-01, 938
2017-08-01, 938
2017-09-01, 925
2017-10-01, 964
2017-11-01, 990
2017-12-01, 1002
2018-01-01, 1015
2018-02-01, 1080
2018-03-01, 1028
2018-04-01, 990
2018-05-01, 925
2018-06-01, 912
2018-07-01, 912
2018-08-01, 899
2018-09-01, 899
2018-10-01, 886
2018-11-01, 964
2018-12-01, 1003
2019-01-01, 1028
2019-02-01, 1041
2019-03-01, 1003
2019-04-01, 1003
2019-05-01, 1016
2019-06-01, 1093
2019-07-01, 1145
2019-08-01, 1003
2019-09-01, 921
2019-10-01, 869
2019-11-01, 1150
2019-12-01, 1156
2020-01-01, 1113
2020-02-01, 1170
2020-03-01, 945
2020-04-01, 1189
2020-05-01, 1231
2020-06-01, 1021
2020-07-01, 1028
2020-08-01, 841
2020-09-01, 825
2020-10-01, 1344
2020-11-01, 1690
2020-12-01, 1683
2021-01-01, 1736
2021-02-01, 1432
2021-03-01, 1231
2021-04-01, 1219
2021-05-01, 1206
2021-06-01, 1007
2021-07-01, 1009
2021-08-01, 1004
2021-09-01, 1010
2021-10-01, 1065
2021-11-01, 1257
2021-12-01, 1212
2022-01-01, 1005
2022-02-01, 971
2022-03-01, 1028
2022-04-01, 816
2022-05-01, 775
2022-06-01, 752
2022-07-01, 904
2022-08-01, 880
2022-09-01, 614
2022-10-01, 713
2022-11-01, 846
2022-12-01, 942
2023-01-01, 983
2023-02-01, 972
2023-03-01, 997
2023-04-01, 989
2023-05-01, 972
2023-06-01, 761
2023-07-01, 941
2023-08-01, 763
2023-09-01, 756
2023-10-01, 921
2023-11-01, 1149
2023-12-01, 1335
2024-01-01, 1344
2024-02-01, 1132
2024-03-01, 1164
2024-04-01, 1152
2024-05-01, 1158
2024-06-01, 941
2024-07-01, 969
2024-08-01, 962
2024-09-01, 1132
2024-10-01, 1183
2024-11-01, 2874
2024-12-01, 2426
2025-01-01, 1462
2025-02-01, 1191
2025-03-01, 1212
2025-04-01, 976
2025-05-01, 1008
2025-06-01, 974
2025-07-01, 838
2025-08-01, 1031
2025-09-01, 985
2025-10-01, 731
2025-11-01, 883
2025-12-01, 949
2026-01-01, 784
2026-02-01, 712
2026-03-01, 687
2026-04-01, 620
2026-05-01, 611
2026-06-01, 538
2026-07-01, 584
2026-08-01, 575
2026-09-01, 570
2026-10-01, 654
2026-11-01, 985
2026-12-01, 897
2027-01-01, 753
2027-02-01, 681
2027-03-01, 656
