#,Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,Global traffic potential,First seen,Intents,Languages,SV trend (03-2024 - 02-2026),SV Forecasting trend (03-2026 - 03-2027)
1,organic body lotion,us,2,900,0.50,0.93,natural lotion,2026-03-08 13:32:23,"Shopping,Thumbnail,Sitelinks,People also ask,Video preview",2400,900,900,2015-09-03,"Informational,Commercial,Non-branded,Non-local",English,"1164, 1152, 1158, 941, 969, 962, 1132, 1183, 2874, 2426, 1462, 1191, 1212, 976, 1008, 974, 838, 1031, 985, 731, 883, 949, 784, 712","687, 620, 611, 538, 584, 575, 570, 654, 985, 897, 753, 681, 656"
2,best organic body lotion,us,0,250,0.40,1.33,best body moisturizer,2026-02-24 03:01:01,"AI Overview,Thumbnail,Sitelinks,People also ask,Discussions,Video preview",450,4500,4600,2015-10-20,"Informational,Commercial,Non-branded,Non-local",English,"452, 366, 375, 310, 379, 369, 438, 545, 917, 448, 371, 357, 293, 296, 242, 238, 284, 249, 244, 233, 274, 274, 268, 254","240, 235, 222, 203, 206, 191, 182, 221, 281, 249, 250, 236, 222"
3,organic body lotion without chemicals,us,0,150,1.90,,what is the best body lotion without chemicals,2025-12-28 10:39:17,"AI Overview,Thumbnail,Shopping,People also ask,Sitelinks,Video preview",150,1200,1300,2016-04-10,"Informational,Commercial,Non-branded,Non-local",English,,
4,organic body lotion for dry skin,us,0,80,1.00,,eminence body lotion,2025-12-06 18:21:53,"Shopping,Thumbnail,Sitelinks,People also ask,Discussions,Top stories",150,250,250,2016-06-05,"Informational,Commercial,Transactional,Non-branded,Non-local",English,,
5,organic firming body lotion,us,2,70,1.90,,firming body lotion,2025-12-15 21:37:48,"Shopping,Thumbnail,People also ask,Discussions",90,150,150,2015-09-28,"Informational,Commercial,Non-branded,Non-local",English,,
6,body lotion organic,us,1,60,0.00,,organic body lotion,2026-01-10 09:13:41,"AI Overview,Thumbnail,Shopping,People also ask,Sitelinks,Discussions",200,350,350,2015-10-13,"Informational,Commercial,Non-branded,Non-local",English,,
7,organic body lotion for women,us,,60,0.60,,,,,80,,,2021-03-12,,,,
8,certified organic body lotion,us,1,50,0.90,,natural body lotion without chemicals,2026-01-16 05:55:34,"Shopping,Thumbnail,Sitelinks",60,350,350,2018-01-31,"Informational,Commercial,Non-branded,Non-local",English,,
9,best organic firming body lotion,us,,50,0.60,,,,,70,,,2018-10-07,"Informational,Commercial,Non-branded,Non-local",English,,
10,best organic body lotion for dry skin,us,0,40,0.60,,non toxic body lotion,2025-12-26 22:27:48,"Thumbnail,Sitelinks,People also ask,Shopping,Discussions",60,2700,2800,2015-12-11,"Informational,Commercial,Non-branded,Non-local",English,,
