Date, Volume
2015-09-01, 466
2015-10-01, 485
2015-11-01, 485
2015-12-01, 498
2016-01-01, 511
2016-02-01, 537
2016-03-01, 602
2016-04-01, 576
2016-05-01, 563
2016-06-01, 498
2016-07-01, 498
2016-08-01, 472
2016-09-01, 472
2016-10-01, 524
2016-11-01, 602
2016-12-01, 602
2017-01-01, 576
2017-02-01, 563
2017-03-01, 615
2017-04-01, 602
2017-05-01, 563
2017-06-01, 576
2017-07-01, 628
2017-08-01, 602
2017-09-01, 602
2017-10-01, 524
2017-11-01, 537
2017-12-01, 498
2018-01-01, 524
2018-02-01, 537
2018-03-01, 576
2018-04-01, 576
2018-05-01, 563
2018-06-01, 524
2018-07-01, 498
2018-08-01, 498
2018-09-01, 459
2018-10-01, 472
2018-11-01, 472
2018-12-01, 485
2019-01-01, 485
2019-02-01, 472
2019-03-01, 459
2019-04-01, 459
2019-05-01, 498
2019-06-01, 563
2019-07-01, 563
2019-08-01, 537
2019-09-01, 498
2019-10-01, 582
2019-11-01, 673
2019-12-01, 556
2020-01-01, 445
2020-02-01, 535
2020-03-01, 428
2020-04-01, 621
2020-05-01, 648
2020-06-01, 567
2020-07-01, 493
2020-08-01, 585
2020-09-01, 592
2020-10-01, 610
2020-11-01, 569
2020-12-01, 739
2021-01-01, 944
2021-02-01, 552
2021-03-01, 502
2021-04-01, 488
2021-05-01, 493
2021-06-01, 539
2021-07-01, 571
2021-08-01, 466
2021-09-01, 390
2021-10-01, 434
2021-11-01, 485
2021-12-01, 432
2022-01-01, 497
2022-02-01, 471
2022-03-01, 491
2022-04-01, 408
2022-05-01, 399
2022-06-01, 483
2022-07-01, 489
2022-08-01, 481
2022-09-01, 408
2022-10-01, 413
2022-11-01, 387
2022-12-01, 496
2023-01-01, 495
2023-02-01, 494
2023-03-01, 503
2023-04-01, 505
2023-05-01, 434
2023-06-01, 493
2023-07-01, 588
2023-08-01, 587
2023-09-01, 500
2023-10-01, 607
2023-11-01, 606
2023-12-01, 574
2024-01-01, 665
2024-02-01, 584
2024-03-01, 620
2024-04-01, 615
2024-05-01, 604
2024-06-01, 569
2024-07-01, 596
2024-08-01, 582
2024-09-01, 592
2024-10-01, 614
2024-11-01, 702
2024-12-01, 706
2025-01-01, 1064
2025-02-01, 896
2025-03-01, 890
2025-04-01, 726
2025-05-01, 738
2025-06-01, 724
2025-07-01, 912
2025-08-01, 869
2025-09-01, 577
2025-10-01, 794
2025-11-01, 844
2025-12-01, 852
2026-01-01, 877
2026-02-01, 824
2026-03-01, 817
2026-04-01, 816
2026-05-01, 807
2026-06-01, 801
2026-07-01, 806
2026-08-01, 808
2026-09-01, 746
2026-10-01, 792
2026-11-01, 811
2026-12-01, 815
2027-01-01, 878
2027-02-01, 826
