Date, Volume
2015-09-01, 754
2015-10-01, 715
2015-11-01, 676
2015-12-01, 819
2016-01-01, 806
2016-02-01, 858
2016-03-01, 728
2016-04-01, 728
2016-05-01, 637
2016-06-01, 689
2016-07-01, 780
2016-08-01, 793
2016-09-01, 767
2016-10-01, 793
2016-11-01, 858
2016-12-01, 896
2017-01-01, 858
2017-02-01, 896
2017-03-01, 922
2017-04-01, 871
2017-05-01, 806
2017-06-01, 702
2017-07-01, 767
2017-08-01, 728
2017-09-01, 806
2017-10-01, 741
2017-11-01, 883
2017-12-01, 909
2018-01-01, 922
2018-02-01, 754
2018-03-01, 702
2018-04-01, 663
2018-05-01, 650
2018-06-01, 585
2018-07-01, 585
2018-08-01, 637
2018-09-01, 741
2018-10-01, 858
2018-11-01, 922
2018-12-01, 909
2019-01-01, 845
2019-02-01, 780
2019-03-01, 715
2019-04-01, 702
2019-05-01, 663
2019-06-01, 637
2019-07-01, 637
2019-08-01, 689
2019-09-01, 704
2019-10-01, 839
2019-11-01, 814
2019-12-01, 866
2020-01-01, 820
2020-02-01, 879
2020-03-01, 723
2020-04-01, 761
2020-05-01, 796
2020-06-01, 671
2020-07-01, 684
2020-08-01, 648
2020-09-01, 555
2020-10-01, 1037
2020-11-01, 1473
2020-12-01, 2103
2021-01-01, 2432
2021-02-01, 1444
2021-03-01, 1430
2021-04-01, 1204
2021-05-01, 1159
2021-06-01, 1103
2021-07-01, 1098
2021-08-01, 1140
2021-09-01, 1061
2021-10-01, 1260
2021-11-01, 1412
2021-12-01, 1613
2022-01-01, 1223
2022-02-01, 1006
2022-03-01, 1186
2022-04-01, 996
2022-05-01, 986
2022-06-01, 999
2022-07-01, 552
2022-08-01, 540
2022-09-01, 647
2022-10-01, 824
2022-11-01, 1136
2022-12-01, 1145
2023-01-01, 932
2023-02-01, 783
2023-03-01, 793
2023-04-01, 652
2023-05-01, 653
2023-06-01, 1796
2023-07-01, 615
2023-08-01, 567
2023-09-01, 717
2023-10-01, 802
2023-11-01, 1173
2023-12-01, 1316
2024-01-01, 1188
2024-02-01, 920
2024-03-01, 819
2024-04-01, 837
2024-05-01, 706
2024-06-01, 582
2024-07-01, 1538
2024-08-01, 1322
2024-09-01, 695
2024-10-01, 879
2024-11-01, 1897
2024-12-01, 1859
2025-01-01, 5014
2025-02-01, 4906
2025-03-01, 8788
2025-04-01, 849
2025-05-01, 873
2025-06-01, 796
2025-07-01, 1066
2025-08-01, 2414
2025-09-01, 2370
2025-10-01, 2841
2025-11-01, 4012
2025-12-01, 3292
2026-01-01, 3399
2026-02-01, 3156
2026-03-01, 3414
2026-04-01, 2483
2026-05-01, 2378
2026-06-01, 2521
2026-07-01, 2402
2026-08-01, 2330
2026-09-01, 2187
2026-10-01, 2249
2026-11-01, 2485
2026-12-01, 2517
2027-01-01, 2746
2027-02-01, 2489
