Date, Volume
2015-09-01, 1949
2015-10-01, 1826
2015-11-01, 1709
2015-12-01, 1826
2016-01-01, 1877
2016-02-01, 1787
2016-03-01, 1631
2016-04-01, 1579
2016-05-01, 1683
2016-06-01, 1657
2016-07-01, 1800
2016-08-01, 1838
2016-09-01, 1929
2016-10-01, 1800
2016-11-01, 1657
2016-12-01, 1761
2017-01-01, 1890
2017-02-01, 2033
2017-03-01, 2124
2017-04-01, 2085
2017-05-01, 1942
2017-06-01, 1748
2017-07-01, 1774
2017-08-01, 1877
2017-09-01, 1839
2017-10-01, 1670
2017-11-01, 1618
2017-12-01, 1579
2018-01-01, 1553
2018-02-01, 1527
2018-03-01, 1631
2018-04-01, 1761
2018-05-01, 1903
2018-06-01, 1851
2018-07-01, 1800
2018-08-01, 1631
2018-09-01, 1735
2018-10-01, 1813
2018-11-01, 1800
2018-12-01, 1696
2019-01-01, 1592
2019-02-01, 1592
2019-03-01, 1540
2019-04-01, 1553
2019-05-01, 1540
2019-06-01, 1553
2019-07-01, 1592
2019-08-01, 1644
2019-09-01, 1621
2019-10-01, 1634
2019-11-01, 1556
2019-12-01, 1227
2020-01-01, 1500
2020-02-01, 1564
2020-03-01, 1285
2020-04-01, 1542
2020-05-01, 1761
2020-06-01, 1749
2020-07-01, 2127
2020-08-01, 2153
2020-09-01, 1804
2020-10-01, 1734
2020-11-01, 2213
2020-12-01, 1867
2021-01-01, 2241
2021-02-01, 1842
2021-03-01, 2283
2021-04-01, 1846
2021-05-01, 1784
2021-06-01, 1799
2021-07-01, 1785
2021-08-01, 1750
2021-09-01, 1458
2021-10-01, 1384
2021-11-01, 1398
2021-12-01, 1177
2022-01-01, 1452
2022-02-01, 1127
2022-03-01, 1423
2022-04-01, 1194
2022-05-01, 1198
2022-06-01, 1176
2022-07-01, 1538
2022-08-01, 1560
2022-09-01, 1479
2022-10-01, 1227
2022-11-01, 1508
2022-12-01, 1188
2023-01-01, 1879
2023-02-01, 1594
2023-03-01, 1876
2023-04-01, 1647
2023-05-01, 1924
2023-06-01, 1971
2023-07-01, 1955
2023-08-01, 1955
2023-09-01, 1931
2023-10-01, 1884
2023-11-01, 1862
2023-12-01, 1865
2024-01-01, 2735
2024-02-01, 2262
2024-03-01, 2136
2024-04-01, 2178
2024-05-01, 2268
2024-06-01, 2257
2024-07-01, 2301
2024-08-01, 2303
2024-09-01, 2277
2024-10-01, 2227
2024-11-01, 2293
2024-12-01, 1907
2025-01-01, 2326
2025-02-01, 1754
2025-03-01, 2365
2025-04-01, 1931
2025-05-01, 1893
2025-06-01, 2148
2025-07-01, 2180
2025-08-01, 2107
2025-09-01, 1686
2025-10-01, 1616
2025-11-01, 1497
2025-12-01, 1756
2026-01-01, 1735
2026-02-01, 1537
2026-03-01, 1655
2026-04-01, 1555
2026-05-01, 1617
2026-06-01, 1601
2026-07-01, 1714
2026-08-01, 1719
2026-09-01, 1623
2026-10-01, 1550
2026-11-01, 1592
2026-12-01, 1446
2027-01-01, 1735
2027-02-01, 1537
