Date, Volume
2015-09-01, 712
2015-10-01, 699
2015-11-01, 699
2015-12-01, 712
2016-01-01, 738
2016-02-01, 790
2016-03-01, 764
2016-04-01, 751
2016-05-01, 712
2016-06-01, 790
2016-07-01, 790
2016-08-01, 803
2016-09-01, 854
2016-10-01, 906
2016-11-01, 919
2016-12-01, 803
2017-01-01, 790
2017-02-01, 790
2017-03-01, 815
2017-04-01, 815
2017-05-01, 802
2017-06-01, 841
2017-07-01, 906
2017-08-01, 906
2017-09-01, 828
2017-10-01, 764
2017-11-01, 751
2017-12-01, 815
2018-01-01, 867
2018-02-01, 893
2018-03-01, 945
2018-04-01, 893
2018-05-01, 906
2018-06-01, 815
2018-07-01, 815
2018-08-01, 815
2018-09-01, 854
2018-10-01, 880
2018-11-01, 906
2018-12-01, 893
2019-01-01, 854
2019-02-01, 816
2019-03-01, 790
2019-04-01, 854
2019-05-01, 828
2019-06-01, 828
2019-07-01, 854
2019-08-01, 906
2019-09-01, 946
2019-10-01, 817
2019-11-01, 788
2019-12-01, 1020
2020-01-01, 643
2020-02-01, 649
2020-03-01, 516
2020-04-01, 645
2020-05-01, 780
2020-06-01, 667
2020-07-01, 988
2020-08-01, 785
2020-09-01, 692
2020-10-01, 776
2020-11-01, 796
2020-12-01, 960
2021-01-01, 904
2021-02-01, 864
2021-03-01, 1163
2021-04-01, 1155
2021-05-01, 951
2021-06-01, 958
2021-07-01, 952
2021-08-01, 1001
2021-09-01, 963
2021-10-01, 972
2021-11-01, 963
2021-12-01, 972
2022-01-01, 1172
2022-02-01, 1202
2022-03-01, 1493
2022-04-01, 1210
2022-05-01, 1171
2022-06-01, 1158
2022-07-01, 1169
2022-08-01, 1478
2022-09-01, 1189
2022-10-01, 1189
2022-11-01, 995
2022-12-01, 1253
2023-01-01, 1216
2023-02-01, 1431
2023-03-01, 1427
2023-04-01, 1469
2023-05-01, 1234
2023-06-01, 1208
2023-07-01, 1489
2023-08-01, 1490
2023-09-01, 1453
2023-10-01, 1441
2023-11-01, 1448
2023-12-01, 1442
2024-01-01, 1758
2024-02-01, 1763
2024-03-01, 1798
2024-04-01, 1785
2024-05-01, 1879
2024-06-01, 1758
2024-07-01, 1779
2024-08-01, 1820
2024-09-01, 1805
2024-10-01, 1889
2024-11-01, 1783
2024-12-01, 1508
2025-01-01, 1854
2025-02-01, 1786
2025-03-01, 2225
2025-04-01, 1813
2025-05-01, 1824
2025-06-01, 1801
2025-07-01, 1869
2025-08-01, 1824
2025-09-01, 1541
2025-10-01, 1507
2025-11-01, 1528
2025-12-01, 2407
2026-01-01, 1632
2026-02-01, 1629
2026-03-01, 1748
2026-04-01, 1689
2026-05-01, 1681
2026-06-01, 1632
2026-07-01, 1703
2026-08-01, 1730
2026-09-01, 1647
2026-10-01, 1648
2026-11-01, 1634
2026-12-01, 1654
2027-01-01, 1711
2027-02-01, 1709
