Date, Volume
2015-09-01, 732
2015-10-01, 726
2015-11-01, 752
2015-12-01, 726
2016-01-01, 752
2016-02-01, 739
2016-03-01, 752
2016-04-01, 687
2016-05-01, 635
2016-06-01, 583
2016-07-01, 609
2016-08-01, 687
2016-09-01, 869
2016-10-01, 920
2016-11-01, 856
2016-12-01, 700
2017-01-01, 687
2017-02-01, 739
2017-03-01, 765
2017-04-01, 778
2017-05-01, 765
2017-06-01, 869
2017-07-01, 907
2017-08-01, 907
2017-09-01, 778
2017-10-01, 739
2017-11-01, 713
2017-12-01, 700
2018-01-01, 830
2018-02-01, 817
2018-03-01, 946
2018-04-01, 882
2018-05-01, 933
2018-06-01, 946
2018-07-01, 998
2018-08-01, 998
2018-09-01, 882
2018-10-01, 713
2018-11-01, 635
2018-12-01, 856
2019-01-01, 869
2019-02-01, 985
2019-03-01, 778
2019-04-01, 869
2019-05-01, 907
2019-06-01, 882
2019-07-01, 817
2019-08-01, 791
2019-09-01, 821
2019-10-01, 872
2019-11-01, 808
2019-12-01, 775
2020-01-01, 578
2020-02-01, 607
2020-03-01, 481
2020-04-01, 514
2020-05-01, 654
2020-06-01, 697
2020-07-01, 777
2020-08-01, 999
2020-09-01, 690
2020-10-01, 623
2020-11-01, 693
2020-12-01, 688
2021-01-01, 843
2021-02-01, 696
2021-03-01, 693
2021-04-01, 686
2021-05-01, 692
2021-06-01, 698
2021-07-01, 696
2021-08-01, 782
2021-09-01, 819
2021-10-01, 817
2021-11-01, 825
2021-12-01, 839
2022-01-01, 1007
2022-02-01, 869
2022-03-01, 1036
2022-04-01, 1024
2022-05-01, 1011
2022-06-01, 1011
2022-07-01, 1015
2022-08-01, 1019
2022-09-01, 1033
2022-10-01, 1045
2022-11-01, 1018
2022-12-01, 872
2023-01-01, 1046
2023-02-01, 1081
2023-03-01, 1079
2023-04-01, 1282
2023-05-01, 1095
2023-06-01, 1066
2023-07-01, 1310
2023-08-01, 1330
2023-09-01, 1294
2023-10-01, 1286
2023-11-01, 1303
2023-12-01, 1291
2024-01-01, 1550
2024-02-01, 1280
2024-03-01, 1534
2024-04-01, 1548
2024-05-01, 1537
2024-06-01, 1556
2024-07-01, 1566
2024-08-01, 1565
2024-09-01, 1547
2024-10-01, 1936
2024-11-01, 1558
2024-12-01, 1590
2025-01-01, 1908
2025-02-01, 1877
2025-03-01, 2245
2025-04-01, 1901
2025-05-01, 1873
2025-06-01, 2309
2025-07-01, 2340
2025-08-01, 2333
2025-09-01, 1965
2025-10-01, 2013
2025-11-01, 1995
2025-12-01, 1988
2026-01-01, 2137
2026-02-01, 2037
2026-03-01, 2099
2026-04-01, 2076
2026-05-01, 2020
2026-06-01, 2107
2026-07-01, 2160
2026-08-01, 2277
2026-09-01, 2077
2026-10-01, 2117
2026-11-01, 2000
2026-12-01, 1940
2027-01-01, 2148
2027-02-01, 2046
