Date, Volume
2015-09-01, 249
2015-10-01, 1757
2015-11-01, 251
2015-12-01, 251
2016-01-01, 246
2016-02-01, 238
2016-03-01, 254
2016-04-01, 264
2016-05-01, 1974
2016-06-01, 233
2016-07-01, 1699
2016-08-01, 233
2016-09-01, 246
2016-10-01, 249
2016-11-01, 249
2016-12-01, 236
2017-01-01, 238
2017-02-01, 238
2017-03-01, 246
2017-04-01, 1682
2017-05-01, 236
2017-06-01, 230
2017-07-01, 243
2017-08-01, 241
2017-09-01, 254
2017-10-01, 256
2017-11-01, 267
2017-12-01, 272
2018-01-01, 259
2018-02-01, 1472
2018-03-01, 1440
2018-04-01, 285
2018-05-01, 1537
2018-06-01, 1662
2018-07-01, 249
2018-08-01, 2644
2018-09-01, 254
2018-10-01, 262
2018-11-01, 1838
2018-12-01, 1389
2019-01-01, 267
2019-02-01, 267
2019-03-01, 1484
2019-04-01, 243
2019-05-01, 230
2019-06-01, 251
2019-07-01, 1692
2019-08-01, 1441
2019-09-01, 220
2019-10-01, 241
2019-11-01, 246
2019-12-01, 233
2020-01-01, 1400
2020-02-01, 1443
2020-03-01, 1182
2020-04-01, 1328
2020-05-01, 254
2020-06-01, 2042
2020-07-01, 1284
2020-08-01, 1421
2020-09-01, 1625
2020-10-01, 1939
2020-11-01, 1541
2020-12-01, 3002
2021-01-01, 2585
2021-02-01, 2005
2021-03-01, 1888
2021-04-01, 2326
2021-05-01, 2910
2021-06-01, 2536
2021-07-01, 2489
2021-08-01, 2339
2021-09-01, 1603
2021-10-01, 2587
2021-11-01, 1659
2021-12-01, 1736
2022-01-01, 1883
2022-02-01, 2162
2022-03-01, 1791
2022-04-01, 2135
2022-05-01, 2875
2022-06-01, 1918
2022-07-01, 1856
2022-08-01, 2528
2022-09-01, 2556
2022-10-01, 2242
2022-11-01, 2413
2022-12-01, 2027
2023-01-01, 2706
2023-02-01, 2737
2023-03-01, 2604
2023-04-01, 2511
2023-05-01, 3134
2023-06-01, 2642
2023-07-01, 3179
2023-08-01, 2792
2023-09-01, 2545
2023-10-01, 2543
2023-11-01, 4053
2023-12-01, 2795
2024-01-01, 2930
2024-02-01, 2749
2024-03-01, 2471
2024-04-01, 2958
2024-05-01, 3241
2024-06-01, 3035
2024-07-01, 3160
2024-08-01, 3324
2024-09-01, 2766
2024-10-01, 3036
2024-11-01, 3071
2024-12-01, 2950
2025-01-01, 3060
2025-02-01, 3205
2025-03-01, 3230
2025-04-01, 3239
2025-05-01, 3521
2025-06-01, 3315
2025-07-01, 3441
2025-08-01, 3605
2025-09-01, 3047
2025-10-01, 3317
2025-11-01, 3352
2025-12-01, 3231
2026-01-01, 3341
2026-02-01, 3485
2026-03-01, 3511
2026-04-01, 3520
2026-05-01, 3802
2026-06-01, 3596
2026-07-01, 3721
2026-08-01, 3886
2026-09-01, 3328
2026-10-01, 3598
2026-11-01, 3633
2026-12-01, 3512
2027-01-01, 3622
2027-02-01, 3766
